"Qty";"Value";"Device";"Package";"Parts";"Description";"POPULARITY";"SPICEPREFIX";
"1";"";"UNICS-SWITCHSS_12D11";"SS_12D11";"S1";"SLIDING SWITCH";"";"";
"4";"0,1u";"C-USC0603";"C0603";"C1, C4, C8, C11";"CAPACITOR, American symbol";"37";"C";
"2";"0,1u";"C-USC1206";"C1206";"C2, C9";"CAPACITOR, American symbol";"24";"C";
"1";"100R";"R-US_R0603";"R0603";"R9";"RESISTOR, American symbol";"77";"R";
"2";"100k";"R-US_R0603";"R0603";"R1, R4";"RESISTOR, American symbol";"77";"R";
"2";"10k";"R-US_R0603";"R0603";"R8, R10";"RESISTOR, American symbol";"77";"R";
"2";"22u";"C-USC0603";"C0603";"C3, C10";"CAPACITOR, American symbol";"37";"C";
"4";"22u";"C-USC1206";"C1206";"C6, C7, C13, C14";"CAPACITOR, American symbol";"24";"C";
"1";"2k";"R-US_R0603";"R0603";"R7";"RESISTOR, American symbol";"77";"R";
"2";"33p";"C-USC0603";"C0603";"C5, C12";"CAPACITOR, American symbol";"37";"C";
"2";"40k2";"R-US_R0603";"R0603";"R3, R6";"RESISTOR, American symbol";"77";"R";
"1";"74HC595";"74HC595";"TSSOP16";"U$7";"";"";"";
"2";"8k87";"R-US_R0603";"R0603";"R2, R5";"RESISTOR, American symbol";"77";"R";
"1";"IRF7905PBF";"IRF7905PBF";"SO8";"U$12";"";"";"";
"2";"JST-2-2.5";"JST-2-2.5";"JST-2-2.5";"X1, X2";"JST PH series header 2.00mm pitch disconnectable crimp style connectors, vertical (side entry type), 2 pins";"";"";
"1";"JST-4-2.5";"JST-4-2.5";"JST-4-2.5";"U$9";"";"";"";
"1";"LIS3MDL";"LIS3MDL";"LIS3MDL";"U$11";"";"";"";
"1";"LSM6DS3_WITHOUT";"LSM6DS3_WITHOUT";"LSM6DS3_WITHOUT";"LSM";"";"";"";
"2";"L_3.3MKH";"L_3.3MKH_5X5";"L_SPM5020";"L_3.3, U$6";"";"";"";
"1";"MOLEX-4-1.25";"MOLEX-4-1.25";"53047-04";"U$14";"";"";"";
"2";"MP1584-B";"MP1584-B";"MP1584-B";"U$1, U$4";"";"";"";
"2";"MP2225";"MP2225";"TSOT23-8";"U$2, U$5";"";"";"";
"1";"PBS_SMD_X13";"PBS_SMD_X13";"PBD_SMD_X13";"U$10";"";"";"";
"1";"TMC2209_WITHOUT";"TMC2209_WITHOUT";"TMC2209_WITHOUT";"U$13";"";"";"";
"1";"VT93N1";"VT93N1";"VT93N1";"U$8";"";"";"";
