"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
1;1920;51;-17;-999;495;4756;3802;4;2;0;19260;
3;2275;43;-8;-991;511;4770;3805;0;-19;-13;64973;
5;3297;56;-3;-997;514;4764;3803;0;-19;-13;14432;
7;3557;51;-14;-993;490;4760;3803;0;0;0;44088;
8;3673;46;-9;-995;482;4763;3804;-19;0;0;21558;
9;3873;49;-18;-993;500;4753;3803;0;-19;-13;45043;
11;4133;55;-12;-995;497;4758;3802;0;0;0;54698;
13;4420;61;-16;-1002;558;4715;3768;-19;0;0;33443;
15;4680;70;-26;-991;425;4793;3746;-19;0;0;5307;
17;4953;42;-21;-1001;529;4738;3814;0;-19;-13;42767;
19;5214;47;-39;-996;490;4759;3811;0;-19;-13;50189;
21;5480;55;-32;-999;504;4755;3796;0;-19;-13;19531;
22;5599;40;4;-993;567;4855;3783;0;-19;-13;12008;
23;5818;63;-6;-983;449;4748;3770;-19;-19;-13;37513;
25;6092;49;-15;-996;489;4749;3829;0;-19;-13;23608;
27;6352;30;-23;-966;501;4716;3808;0;-19;-13;29806;
29;6614;55;-1;-992;489;4748;3805;-19;0;0;34819;
30;6731;52;-11;-992;498;4753;3803;-19;0;0;51275;
31;6933;40;-8;-1002;505;4760;3804;-19;-19;-13;11431;
33;7194;46;-21;-983;497;4749;3801;0;-19;-13;8633;
35;7466;53;-30;-994;480;4753;3801;0;0;0;45439;
37;7753;43;-20;-986;402;4811;3788;-19;0;0;7169;
39;8025;54;-20;-989;451;4727;3802;-19;-19;-13;20435;
41;8285;57;-8;-1002;520;4778;3800;0;-19;-13;17250;
43;8557;45;-14;-993;498;4749;3806;-19;0;0;47083;
44;8673;51;-9;-996;473;4773;3797;-19;-19;-13;10407;
45;8886;43;-20;-991;455;4759;3798;0;-19;-13;58393;
47;9147;47;-16;-992;507;4775;3799;0;0;0;32225;
49;9420;58;-15;-1002;513;4749;3805;-19;0;0;57158;
51;9680;50;-12;-996;466;4752;3802;-19;-19;-13;10286;
52;9799;46;1;-974;471;4719;3807;0;-19;-13;54331;
53;10002;56;-15;-1005;517;4822;3794;0;-19;-13;38794;
55;10261;56;-2;-1006;575;4772;3828;-19;0;0;10123;
57;10534;51;-26;-995;497;4759;3813;-19;-19;-13;33505;
59;10794;32;-18;-1006;483;4747;3801;0;-19;-13;35254;
