"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
2068;207031;-117;175;964;479;4744;3800;-341;184;180;25376;
2069;207131;-117;173;964;476;4746;3800;-344;176;181;19297;
2070;207231;-120;175;964;476;4745;3801;-337;199;130;64462;
2071;207331;-117;174;969;477;4745;3800;-538;182;219;65381;
2072;207431;-120;175;972;477;4746;3800;-354;173;187;64724;
2073;207531;-113;177;968;476;4744;3798;-355;208;178;33910;
2074;207631;-118;167;966;478;4745;3800;-357;182;176;7841;
2075;207731;-121;176;970;475;4745;3800;-349;183;177;6073;
2076;207831;-117;175;963;477;4746;3801;-483;192;200;2479;
2077;207931;-120;174;962;478;4746;3800;-344;169;188;35906;
2078;208031;-122;176;975;476;4746;3800;-345;237;158;52014;
2079;208131;-118;178;973;479;4745;3801;-351;178;186;29980;
2080;208231;-122;178;963;477;4746;3799;-339;187;175;19597;
2081;208331;-122;168;966;475;4744;3798;-340;179;180;11259;
2082;208431;-115;175;964;478;4745;3800;-353;184;183;33907;
2084;208631;-122;172;965;477;4746;3801;-345;181;162;52271;
2085;208731;-115;176;967;477;4746;3801;-346;169;187;6748;
2086;208831;-123;175;966;478;4745;3800;-354;185;175;13369;
2087;208931;-118;173;967;476;4745;3800;-346;185;173;52676;
2088;209031;-115;173;962;477;4747;3801;-349;187;173;54745;
2089;209131;-119;173;960;477;4744;3801;-361;172;185;49013;
2090;209231;-111;177;964;478;4740;3800;-336;182;175;35381;
2091;209331;-118;171;964;478;4747;3800;-339;171;184;14151;
2092;209431;-120;173;965;478;4745;3801;-331;203;133;17425;
2093;209531;-113;177;965;477;4745;3800;-352;179;181;44645;
2094;209631;-121;174;969;475;4745;3801;-350;183;176;52993;
2095;209731;-118;177;970;477;4745;3801;-336;163;184;14218;
2096;209831;-120;176;969;478;4746;3800;-345;168;185;8550;
2097;209931;-120;175;962;477;4745;3798;-339;169;183;62239;
2098;210031;-115;172;963;477;4744;3800;-437;178;198;59467;
2099;210131;-122;179;969;478;4743;3799;-339;174;174;42835;
2100;210231;-116;174;964;477;4744;3800;-348;181;181;15178;
2101;210331;-120;172;963;477;4746;3801;-336;173;179;21733;
2102;210431;-120;179;967;476;4744;3801;-335;174;180;10487;
2103;210531;-119;172;968;477;4746;3799;-351;178;180;45901;
2104;210631;-121;174;963;477;4744;3801;-346;173;182;8159;
2105;210731;-123;175;968;478;4747;3800;-340;187;174;64608;
2106;210831;-122;174;961;477;4745;3800;-331;206;130;56968;
2107;210931;-120;172;964;476;4746;3800;-351;192;179;8095;
2108;211031;-113;177;965;478;4744;3799;-347;188;178;33697;
2109;211131;-116;179;969;479;4746;3799;-360;187;183;3103;
2110;211231;-123;172;965;476;4745;3800;-354;184;181;42968;
2111;211331;-118;174;967;477;4745;3800;-336;207;136;4020;
2112;211431;-121;173;967;477;4746;3801;-597;202;211;24054;
2113;211531;-120;177;966;476;4746;3800;-347;182;180;20671;
2114;211631;-112;176;965;476;4747;3800;-355;224;160;23824;
2115;211731;-122;180;963;477;4746;3799;-351;177;184;18975;
2116;211831;-122;174;968;477;4745;3800;-339;182;180;46112;
2117;211931;-112;174;965;477;4744;3800;-344;178;175;3185;
2118;212031;-120;174;967;478;4746;3800;-331;181;177;62726;
2119;212131;-124;174;970;477;4745;3800;-326;169;179;5111;
2120;212231;-118;170;962;477;4746;3800;-341;175;179;53000;
2121;212331;-119;175;964;478;4745;3801;-330;179;172;32097;
2122;212431;-124;178;969;478;4745;3801;-340;173;180;31379;
2123;212531;-113;172;963;476;4745;3801;-344;177;182;20049;
2124;212631;-120;170;967;476;4745;3800;-346;183;167;41281;
2125;212731;-123;173;970;477;4744;3799;-340;181;163;14018;
2126;212831;-116;173;963;477;4745;3801;-527;192;209;60742;
2127;212931;-122;175;966;477;4745;3800;-354;172;193;50556;
2128;213031;-119;174;968;477;4746;3801;-338;232;158;32292;
2129;213131;-122;176;960;477;4746;3801;-341;173;180;237;
2130;213231;-121;170;965;475;4745;3800;-345;176;178;15115;
2131;213331;-117;176;968;478;4746;3800;-336;179;176;50166;
2132;213431;-118;171;966;475;4745;3800;-334;182;175;46341;
2133;213531;-120;175;969;478;4746;3802;-315;200;124;13141;
2134;213631;-112;175;963;477;4746;3800;-339;176;175;13182;
2135;213731;-118;175;967;478;4745;3799;-345;181;179;58865;
2136;213831;-121;170;966;476;4745;3801;-348;186;178;31204;
2137;213931;-114;171;963;477;4745;3801;-332;174;180;65496;
2138;214031;-115;171;970;477;4745;3800;-339;178;178;41946;
2139;214131;-118;176;968;477;4745;3800;-327;167;175;32183;
2140;214231;-115;174;963;478;4746;3801;-342;173;175;42146;
2141;214331;-119;171;964;477;4746;3800;-338;165;183;22900;
2142;214431;-123;176;972;478;4747;3800;-344;166;184;11184;
2143;214531;-115;177;967;476;4744;3800;-328;166;176;38706;
2144;214631;-122;174;965;477;4745;3800;-344;173;183;52914;
2145;214731;-123;179;969;476;4745;3801;-329;169;185;44657;
2146;214831;-115;170;966;477;4744;3800;-341;170;178;3498;
2147;214931;-122;172;966;477;4744;3800;-316;193;130;18384;
2148;215031;-115;175;966;475;4745;3799;-415;183;192;53997;
2149;215131;-114;174;968;476;4745;3800;-337;185;174;10237;
2150;215231;-122;175;965;479;4744;3801;-334;167;188;19741;
2151;215331;-120;174;967;476;4746;3799;-344;177;179;2870;
2152;215431;-122;173;962;475;4744;3799;-325;167;180;26993;
2153;215531;-122;174;965;476;4746;3802;-528;197;204;29347;
2154;215631;-115;175;965;477;4746;3801;-327;182;172;48766;
2155;215731;-118;176;966;476;4746;3801;-333;233;164;17110;
2156;215831;-118;173;962;478;4745;3799;-327;182;173;14071;
2157;215931;-121;178;961;477;4745;3800;-334;172;176;30839;
2158;216031;-119;169;967;475;4746;3800;-323;167;183;36447;
2159;216131;-123;179;972;476;4745;3800;-339;180;178;34693;
2160;216231;-114;171;964;476;4745;3800;-332;176;181;24892;
2161;216331;-117;176;961;477;4745;3799;-331;171;161;41883;
2162;216431;-116;176;966;476;4744;3801;-339;175;180;45419;
2163;216531;-119;170;962;478;4744;3800;-331;181;177;18215;
2164;216631;-118;174;967;477;4746;3801;-338;174;180;47103;
2165;216731;-116;174;969;477;4747;3799;-343;164;185;28204;
2166;216831;-120;173;966;477;4745;3800;-332;182;172;62942;
2167;216931;-122;174;963;475;4746;3799;-343;179;171;25662;
2168;217031;-121;178;968;476;4745;3799;-332;174;175;6517;
2169;217131;-121;172;966;477;4747;3800;-315;202;122;62725;
2170;217231;-117;174;963;478;4745;3800;-342;182;175;47751;
2171;217331;-120;176;968;477;4747;3801;-333;172;180;32892;
2172;217431;-121;171;965;476;4744;3801;-337;187;176;13502;
2173;217531;-121;173;968;477;4745;3801;-332;179;171;48501;
2174;217631;-119;174;964;477;4745;3800;-334;174;180;2404;
2175;217731;-120;171;966;478;4746;3800;-419;179;194;38118;
2176;217831;-122;173;967;475;4746;3800;-336;179;177;36515;
2177;217931;-117;171;963;476;4746;3800;-337;172;177;37358;
2178;218031;-119;174;965;478;4745;3801;-339;173;182;11663;
2179;218131;-118;179;966;477;4745;3800;-350;183;179;7054;
2180;218231;-115;173;964;476;4746;3801;-346;180;179;6662;
2181;218331;-121;175;968;478;4745;3800;-349;181;177;61557;
2183;218531;-122;175;962;476;4746;3800;-319;200;138;15342;
2184;218631;-121;172;964;477;4744;3800;-338;184;174;54068;
2185;218731;-122;176;970;476;4744;3798;-341;185;175;39842;
2186;218831;-119;174;965;476;4746;3799;-353;174;183;44313;
2187;218931;-120;178;963;477;4746;3801;-332;172;176;22544;
2188;219031;-121;179;967;475;4744;3801;-323;194;133;25317;
2189;219131;-119;170;965;477;4745;3801;-587;202;215;58596;
2190;219231;-123;173;964;477;4745;3800;-350;187;179;38579;
2191;219331;-118;176;969;477;4745;3800;-353;194;181;21382;
2192;219431;-120;175;962;475;4745;3799;-337;175;189;37158;
2193;219531;-120;172;961;477;4745;3800;-339;164;188;40579;
2194;219631;-122;179;967;477;4744;3799;-338;171;190;46375;
2195;219731;-116;171;966;476;4745;3799;-357;174;196;27435;
2196;219831;-118;178;969;477;4746;3800;-345;181;182;27063;
2197;219931;-115;178;967;478;4744;3802;-346;173;182;15670;
2198;220031;-120;175;965;476;4745;3800;-347;174;185;13219;
2199;220131;-121;175;971;476;4745;3801;-347;164;188;52138;
2200;220231;-114;174;964;476;4745;3801;-347;172;182;49276;
2201;220331;-119;171;965;476;4744;3800;-337;180;177;474;
2202;220431;-118;176;970;477;4745;3800;-339;180;161;24462;
2203;220531;-113;172;967;477;4745;3798;-556;196;212;34014;
2204;220631;-117;168;965;477;4744;3800;-343;170;185;25278;
2205;220731;-118;175;967;477;4745;3801;-344;224;168;61993;
2206;220831;-116;174;966;477;4745;3801;-338;186;177;9838;
2207;220931;-117;172;966;477;4745;3801;-341;179;186;59034;
2208;221031;-123;177;970;477;4745;3800;-356;182;180;53633;
2209;221131;-117;176;967;476;4745;3800;-347;174;181;12822;
2210;221231;-119;171;963;476;4745;3800;-341;207;135;38822;
2211;221331;-124;172;968;477;4746;3799;-357;179;184;38799;
2212;221431;-117;170;967;476;4746;3800;-350;180;181;51956;
2213;221531;-122;171;966;477;4747;3800;-361;180;182;30345;
2214;221631;-122;181;969;478;4745;3802;-351;172;185;40050;
2215;221731;-122;175;971;477;4747;3800;-354;173;185;30679;
2216;221831;-118;172;963;477;4746;3800;-351;175;181;703;
2217;221931;-114;180;962;478;4744;3801;-342;187;172;64825;
2218;222031;-119;170;966;476;4745;3799;-343;186;173;34092;
2219;222131;-119;174;965;476;4746;3799;-337;167;181;27213;
2220;222231;-116;170;967;477;4746;3800;-324;178;174;37251;
2221;222331;-116;171;965;477;4745;3799;-339;178;176;43302;
2222;222431;-117;173;966;477;4745;3800;-348;181;173;36789;
2223;222531;-117;171;963;477;4745;3801;-339;167;179;3212;
2224;222631;-120;177;963;476;4746;3800;-326;198;126;55706;
2225;222731;-123;176;970;478;4746;3800;-404;176;188;23242;
2226;222831;-115;170;967;478;4745;3801;-340;172;180;24655;
2227;222931;-121;170;963;477;4745;3799;-345;185;182;42741;
2228;223031;-122;180;967;478;4747;3800;-338;189;175;37542;
2229;223131;-118;172;964;477;4745;3801;-336;184;167;406;
2230;223231;-116;178;963;477;4744;3801;-569;199;217;29556;
2231;223331;-118;175;970;477;4744;3801;-339;184;178;32932;
2232;223431;-122;172;967;477;4746;3799;-350;232;163;40486;
2233;223531;-119;173;964;478;4744;3800;-339;193;173;33932;
2234;223631;-113;175;964;478;4744;3800;-334;177;182;43014;
2235;223731;-123;169;969;478;4744;3802;-345;176;183;23496;
2236;223831;-120;175;968;477;4746;3799;-340;186;179;26396;
2237;223931;-115;171;962;477;4745;3800;-326;183;174;33459;
2238;224031;-122;174;966;477;4745;3800;-344;194;148;55517;
2239;224131;-115;172;962;477;4745;3801;-334;178;173;31507;
2240;224231;-115;171;963;478;4744;3801;-346;168;189;35443;
2241;224331;-120;175;966;476;4745;3800;-345;174;185;6955;
2242;224431;-121;179;966;476;4744;3801;-331;178;174;9417;
2243;224531;-112;174;964;477;4744;3800;-327;177;172;3786;
2244;224631;-121;172;963;477;4746;3799;-347;164;185;60539;
2245;224731;-125;176;969;477;4745;3799;-335;171;173;6978;
2246;224831;-121;171;966;476;4746;3799;-326;213;132;4638;
2247;224931;-120;176;965;478;4745;3801;-329;176;178;40996;
2248;225031;-113;176;965;477;4745;3800;-338;181;176;5443;
2249;225131;-121;173;967;477;4745;3799;-342;181;176;42722;
2250;225231;-124;175;966;476;4745;3801;-340;181;180;28581;
2251;225331;-113;174;964;477;4745;3799;-339;175;177;43677;
2252;225431;-122;172;968;476;4745;3800;-442;175;196;27285;
2253;225531;-123;171;967;476;4746;3800;-330;177;176;46352;
2254;225631;-113;173;965;477;4745;3799;-341;182;171;51412;
2255;225731;-121;171;968;477;4746;3802;-331;179;169;64054;
2256;225831;-116;176;967;476;4746;3799;-342;170;178;22064;
2257;225931;-117;173;964;477;4745;3800;-339;175;180;39484;
2258;226031;-117;175;965;477;4746;3800;-343;178;178;57198;
2259;226131;-122;176;969;478;4745;3801;-347;179;180;12370;
2260;226231;-115;172;964;475;4745;3800;-320;203;128;25115;
2261;226331;-122;171;964;477;4745;3800;-339;183;176;65143;
2262;226431;-117;174;968;477;4745;3799;-329;165;178;42476;
2263;226531;-115;175;966;479;4744;3799;-342;176;176;55546;
2264;226631;-119;175;964;476;4746;3800;-350;185;174;36286;
2265;226731;-115;175;966;478;4744;3801;-330;199;150;45021;
2266;226831;-120;177;964;476;4744;3802;-557;202;208;18754;
2267;226931;-121;175;968;478;4745;3801;-338;184;176;32946;
2268;227031;-116;172;963;479;4744;3799;-348;228;169;64155;
2269;227131;-121;176;963;478;4745;3800;-337;181;176;27546;
2270;227231;-122;170;969;477;4744;3801;-333;175;178;62360;
2271;227331;-116;171;963;477;4744;3800;-354;172;181;30254;
2272;227431;-117;172;963;477;4746;3802;-341;184;177;15140;
2273;227531;-117;176;968;477;4746;3800;-346;183;178;45360;
2274;227631;-120;172;961;477;4745;3800;-344;186;174;62257;
2275;227731;-122;174;965;478;4746;3800;-335;187;171;29598;
2276;227831;-125;175;972;477;4745;3800;-335;200;168;60979;
2277;227931;-121;171;964;476;4746;3799;-337;179;179;30579;
2278;228031;-119;176;964;477;4747;3799;-341;176;181;64759;
2279;228131;-117;171;966;479;4745;3800;-349;185;175;12127;
2280;228231;-121;175;965;476;4746;3802;-341;187;171;28343;
2282;228431;-120;171;967;477;4745;3799;-327;191;138;50635;
2283;228531;-117;173;960;477;4744;3800;-352;190;177;18683;
2284;228631;-111;175;966;475;4744;3801;-351;190;174;52640;
2285;228731;-117;174;966;477;4746;3801;-354;183;185;45545;
2286;228831;-119;177;970;477;4746;3799;-343;182;177;42441;
2287;228931;-121;178;967;478;4745;3801;-322;210;118;37581;
2288;229031;-116;167;963;479;4745;3799;-549;202;207;3991;
2289;229131;-122;177;969;477;4744;3801;-350;173;185;34206;
2290;229231;-111;174;964;477;4745;3802;-346;207;172;6165;
2291;229331;-122;172;966;477;4746;3800;-338;182;188;36433;
2293;229531;-119;174;969;478;4746;3800;-348;179;185;50475;
2294;229631;-121;172;964;478;4745;3800;-343;183;181;10437;
2295;229731;-117;177;967;478;4747;3800;-334;183;181;42431;
2296;229831;-120;171;965;477;4747;3798;-332;188;169;13774;
2297;229931;-120;175;966;478;4744;3801;-326;182;173;54361;
2298;230031;-116;176;964;477;4743;3800;-332;181;169;25878;
2299;230131;-120;172;964;478;4746;3801;-317;174;173;25962;
2300;230231;-123;170;968;477;4744;3799;-329;176;177;40122;
2301;230331;-114;176;965;477;4744;3801;-331;180;171;35445;
2302;230431;-119;172;963;477;4744;3800;-315;186;169;8721;
2303;230531;-121;173;965;477;4746;3799;-314;177;172;37289;
2304;230631;-117;174;964;478;4746;3799;-323;218;139;64415;
2305;230731;-120;170;962;477;4745;3801;-338;187;174;37671;
2306;230831;-120;176;968;477;4746;3801;-337;185;176;15925;
2307;230931;-119;176;964;478;4746;3801;-333;183;172;58834;
2308;231031;-122;173;962;477;4746;3801;-332;180;174;22697;
2309;231131;-117;173;966;477;4746;3801;-327;199;127;64464;
2310;231231;-119;173;966;477;4746;3801;-398;188;184;35704;
2311;231331;-122;173;968;476;4746;3799;-325;172;175;18697;
2312;231431;-114;172;964;478;4745;3800;-326;180;174;7201;
2313;231531;-119;172;965;477;4744;3800;-332;185;174;13692;
2314;231631;-110;178;964;478;4745;3801;-349;180;178;4579;
2315;231731;-110;171;966;478;4743;3800;-329;180;171;1360;
2316;231831;-118;178;966;479;4743;3800;-333;185;168;1818;
2317;231931;-121;179;969;475;4743;3800;-335;171;179;7022;
2318;232031;-117;175;963;480;4745;3801;-333;179;173;63917;
2319;232131;-120;167;967;476;4744;3799;-345;179;180;51163;
2320;232231;-124;172;968;479;4746;3799;-331;182;170;26856;
2321;232331;-119;172;963;475;4746;3800;-332;184;174;7720;
2322;232431;-120;178;961;478;4745;3801;-344;185;178;29228;
2323;232531;-114;175;968;476;4744;3800;-327;189;157;65493;
2324;232631;-121;180;961;477;4746;3801;-559;189;225;63737;
2325;232731;-122;172;966;478;4744;3801;-337;179;182;17636;
2326;232831;-118;173;968;476;4745;3800;-334;229;160;52603;
2327;232931;-121;172;968;477;4747;3801;-330;182;174;3313;
2328;233031;-122;173;963;478;4745;3800;-336;173;181;52552;
2329;233131;-115;175;965;477;4744;3800;-335;191;168;4162;
2330;233231;-122;174;968;477;4744;3801;-336;184;175;5527;
2331;233331;-118;172;965;478;4745;3799;-317;209;115;28817;
2332;233431;-115;178;969;477;4744;3802;-347;172;180;36025;
2333;233531;-115;175;966;477;4745;3800;-337;177;177;13600;
2334;233631;-122;172;969;477;4745;3801;-332;180;180;17444;
2335;233731;-119;173;965;478;4745;3800;-337;180;176;45086;
2336;233831;-117;172;968;477;4744;3800;-333;189;171;10214;
2337;233931;-121;178;967;476;4746;3800;-325;192;163;29513;
2338;234031;-115;172;966;477;4746;3799;-333;181;178;30634;
2339;234131;-125;170;968;476;4745;3800;-338;181;176;23764;
2340;234231;-111;172;965;478;4745;3800;-331;177;176;31742;
2341;234331;-118;174;961;476;4746;3800;-344;173;182;4910;
2342;234431;-124;170;966;479;4744;3799;-348;175;182;3339;
2343;234531;-119;176;962;478;4745;3801;-348;161;192;16775;
2344;234631;-119;172;963;477;4744;3799;-337;185;178;5572;
2345;234731;-122;179;970;478;4746;3800;-315;202;117;8917;
2346;234831;-115;175;966;476;4745;3799;-490;191;199;3645;
2347;234931;-122;175;964;476;4748;3801;-332;182;178;19957;
2348;235031;-122;177;969;476;4745;3800;-337;196;169;25140;
2349;235131;-121;179;966;477;4747;3800;-330;195;175;19461;
2350;235231;-117;176;968;479;4744;3800;-345;173;187;47054;
2351;235331;-123;172;966;467;4749;3801;-461;190;195;21121;
2352;235431;-115;157;965;479;4744;3798;-331;182;180;27701;
2353;235531;-124;184;963;477;4746;3801;-334;226;154;33537;
2354;235631;-117;162;970;475;4742;3800;-334;192;169;151;
2355;235731;-119;168;964;479;4743;3799;-348;179;183;14152;
2356;235831;-122;169;964;478;4744;3800;-335;192;173;35992;
2357;235931;-119;169;964;477;4745;3801;-321;185;169;17303;
2358;236031;-123;175;970;477;4745;3800;-337;181;169;12606;
2359;236131;-121;177;970;476;4745;3800;-322;188;156;49414;
2360;236231;-120;174;964;477;4746;3799;-333;197;171;10450;
2361;236331;-122;172;968;478;4746;3800;-331;191;173;16463;
2362;236431;-115;174;964;476;4747;3800;-325;185;163;9235;
2363;236531;-118;173;964;477;4744;3800;-324;177;166;61462;
2364;236631;-120;174;961;477;4744;3801;-333;182;177;56373;
2365;236731;-116;178;964;479;4744;3800;-320;188;169;64444;
2366;236831;-122;175;960;476;4747;3800;-339;182;178;62703;
2367;236931;-121;174;964;477;4746;3800;-323;205;126;57738;
2368;237031;-113;173;966;478;4747;3800;-338;178;183;28317;
2369;237131;-123;170;963;477;4745;3800;-336;178;178;20431;
2370;237231;-120;172;965;477;4745;3800;-328;170;185;49424;
2371;237331;-116;170;964;478;4745;3800;-332;182;183;34274;
2372;237431;-122;169;964;479;4745;3798;-334;176;179;2788;
2373;237531;-122;174;966;478;4745;3799;-543;199;210;46371;
2374;237631;-118;174;965;478;4745;3803;-337;178;180;52612;
2375;237731;-121;177;966;478;4745;3800;-342;205;174;54187;
2376;237831;-120;171;967;475;4743;3801;-338;175;182;7278;
