"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
1;411;-21.078907012939453;6.618409633636475;-97.52885437011719;-80.6292953491211;-14.181745529174805;7641;
2;631;-30.255950927734375;13.686747550964355;-94.32524871826172;-72.95289611816406;-21.5491886138916;12093;
3;851;-38.2647590637207;20.929609298706055;-89.987548828125;-68.13426208496094;-28.730541229248047;62888;
4;1071;-44.72555923461914;28.758094787597656;-84.69120025634766;-63.61956024169922;-35.69071578979492;61768;
5;1291;-49.58500671386719;36.803218841552734;-78.65652465820312;-59.349578857421875;-42.370147705078125;42124;
6;1511;-51.73732376098633;45.1274299621582;-72.71015930175781;-54.335777282714844;-48.17189407348633;32575;
7;1731;-48.059791564941406;52.97362518310547;-69.885986328125;-46.90473556518555;-50.73664474487305;33973;
8;1951;-42.68821334838867;57.814605712890625;-69.53549194335938;-40.48854064941406;-51.0478401184082;62253;
9;2171;-37.5958137512207;60.51279830932617;-70.1766128540039;-35.390174865722656;-50.47746658325195;35492;
10;2391;-30.812585830688477;62.91084289550781;-71.3639144897461;-28.993289947509766;-49.407588958740234;20713;
11;2611;-23.159406661987305;64.08919525146484;-73.18618774414062;-22.074798583984375;-47.728843688964844;46539;
12;2831;-16.585128784179688;64.24555969238281;-74.81607055664062;-16.082836151123047;-46.18601608276367;36745;
13;3051;-10.129392623901367;63.45840835571289;-76.61868286132812;-10.076563835144043;-44.42894744873047;9593;
14;3271;-2.9902379512786865;61.51170349121094;-78.7868423461914;-3.092237710952759;-42.23561477661133;35045;
15;3491;3.2965495586395264;58.4139404296875;-81.09835815429688;3.5888006687164307;-39.78527069091797;45722;
16;3711;8.78990364074707;54.522804260253906;-83.36665344238281;10.175407409667969;-37.246337890625;33482;
17;3931;13.833992958068848;49.28615951538086;-85.90397644042969;17.420291900634766;-34.21121597290039;13977;
18;4151;17.928659439086914;43.01576232910156;-88.47715759277344;25.13924217224121;-30.86190414428711;57007;
