"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
11;341;-325;59;915;489;4751;3800;0;0;-1;34805;
13;364;-331;57;922;489;4753;3799;0;-19;-14;32884;
15;388;-328;62;920;490;4750;3800;0;-19;-14;50285;
15;388;-328;62;920;490;4750;3800;0;-19;-14;50285;
27;524;-326;58;918;491;4752;3799;0;0;-1;12580;
27;524;-326;58;918;491;4752;3799;0;0;-1;12580;
29;547;-329;60;917;489;4751;3800;0;0;-1;2023;
29;547;-329;60;917;489;4751;3800;0;0;-1;2023;
43;707;-333;55;924;489;4750;3800;-19;-19;-14;7645;
45;730;-331;60;925;488;4752;3800;-19;0;-1;2531;
45;730;-331;60;925;488;4752;3800;-19;0;-1;2531;
47;754;-336;58;919;489;4751;3801;-19;0;-1;2286;
47;754;-336;58;919;489;4751;3801;-19;0;-1;2286;
61;913;-333;61;920;489;4751;3800;-19;-19;-14;19154;
61;913;-333;61;920;489;4751;3800;-19;-19;-14;19154;
77;1096;-328;57;919;490;4751;3801;-19;-19;-14;56278;
77;1096;-328;57;919;490;4751;3801;-19;-19;-14;56278;
79;1120;-335;62;920;490;4752;3801;-19;-19;-14;45397;
79;1120;-335;62;920;490;4752;3801;-19;-19;-14;45397;
91;1256;-331;56;923;488;4751;3800;0;0;-1;27674;
91;1256;-331;56;923;488;4751;3800;0;0;-1;27674;
107;1439;-332;55;928;489;4754;3801;-19;0;-1;6533;
107;1439;-332;55;928;489;4754;3801;-19;0;-1;6533;
109;1462;-333;60;924;490;4752;3800;-19;0;-1;10868;
109;1462;-333;60;924;490;4752;3800;-19;0;-1;10868;
111;1486;-332;54;925;488;4751;3800;0;0;-1;39201;
111;1486;-332;54;925;488;4751;3800;0;0;-1;39201;
123;1622;-334;57;924;488;4753;3800;-19;-19;-14;1615;
123;1622;-334;57;924;488;4753;3800;-19;-19;-14;1615;
125;1646;-335;62;922;489;4752;3799;-19;-19;-14;60277;
125;1646;-335;62;922;489;4752;3799;-19;-19;-14;60277;
139;1805;-333;61;921;490;4751;3799;-19;-19;-14;9281;
139;1805;-333;61;921;490;4751;3799;-19;-19;-14;9281;
141;1828;-329;56;920;489;4751;3800;-19;-19;-14;45296;
141;1828;-329;56;920;489;4751;3800;-19;-19;-14;45296;
143;1852;-328;55;921;489;4751;3800;-19;-19;-14;16082;
143;1852;-328;55;921;489;4751;3800;-19;-19;-14;16082;
155;1988;-335;59;925;489;4752;3800;0;0;-1;28678;
155;1988;-335;59;925;489;4752;3800;0;0;-1;28678;
157;2012;-333;60;924;489;4752;3801;0;0;-1;34183;
157;2012;-333;60;924;489;4752;3801;0;0;-1;34183;
171;2171;-330;58;924;491;4749;3801;0;0;-1;10997;
171;2171;-330;58;924;491;4749;3801;0;0;-1;10997;
173;2195;-334;59;927;489;4754;3800;0;0;-1;38144;
175;2218;-336;60;920;489;4749;3800;0;0;-1;13675;
175;2218;-336;60;920;489;4749;3800;0;0;-1;13675;
187;2355;-327;56;926;489;4751;3799;-19;-19;-14;24142;
187;2355;-327;56;926;489;4751;3799;-19;-19;-14;24142;
189;2378;-329;64;926;492;4752;3800;-19;-19;-14;49650;
189;2378;-329;64;926;492;4752;3800;-19;-19;-14;49650;
203;2537;-329;63;931;488;4754;3800;-19;-19;-14;45525;
203;2537;-329;63;931;488;4754;3800;-19;-19;-14;45525;
205;2561;-328;53;922;491;4749;3800;-19;-19;-14;27385;
205;2561;-328;53;922;491;4749;3800;-19;-19;-14;27385;
207;2584;-332;62;922;491;4752;3800;-19;-19;-14;28271;
207;2584;-332;62;922;491;4752;3800;-19;-19;-14;28271;
219;2720;-329;62;924;490;4752;3800;0;0;-1;21002;
235;2903;-329;59;924;490;4749;3800;0;0;-1;55903;
237;2927;-332;59;919;490;4753;3800;0;0;-1;62543;
237;2927;-332;59;919;490;4753;3800;0;0;-1;62543;
239;2950;-335;61;917;490;4747;3800;0;0;-1;39656;
239;2950;-335;61;917;490;4747;3800;0;0;-1;39656;
251;3086;-328;50;928;487;4752;3799;-19;0;-1;29364;
251;3086;-328;50;928;487;4752;3799;-19;0;-1;29364;
253;3110;-332;65;923;495;4749;3802;-19;0;-1;39058;
253;3110;-332;65;923;495;4749;3802;-19;0;-1;39058;
267;3269;-327;62;926;487;4754;3799;-19;-19;-14;25458;
267;3269;-327;62;926;487;4754;3799;-19;-19;-14;25458;
269;3293;-338;55;923;491;4750;3801;-19;-19;-14;62551;
271;3316;-325;64;925;491;4750;3801;-19;-19;-14;47904;
285;3476;-328;54;923;489;4750;3801;-19;-19;-14;56070;
285;3476;-328;54;923;489;4750;3801;-19;-19;-14;56070;
299;3635;-332;59;926;489;4753;3800;0;0;-1;42719;
299;3635;-332;59;926;489;4753;3800;0;0;-1;42719;
301;3659;-326;58;921;490;4751;3800;0;0;-1;51603;
301;3659;-326;58;921;490;4751;3800;0;0;-1;51603;
303;3682;-334;66;922;489;4751;3801;0;0;-1;14448;
317;3842;-335;63;921;492;4752;3800;0;0;-1;43749;
331;4001;-330;58;924;489;4752;3801;-19;-19;-14;9013;
331;4001;-330;58;924;489;4752;3801;-19;-19;-14;9013;
335;4048;-327;58;921;490;4751;3801;-19;0;-1;54469;
335;4048;-327;58;921;490;4751;3801;-19;0;-1;54469;
347;4185;-335;59;923;489;4751;3801;-19;-19;-14;9994;
347;4185;-335;59;923;489;4751;3801;-19;-19;-14;9994;
349;4208;-333;58;923;490;4752;3801;-19;-19;-14;21257;
349;4208;-333;58;923;490;4752;3801;-19;-19;-14;21257;
363;4367;-333;59;918;491;4752;3801;0;-19;-14;57361;
363;4367;-333;59;918;491;4752;3801;0;-19;-14;57361;
365;4391;-327;63;926;488;4749;3800;0;-19;-14;21089;
365;4391;-327;63;926;488;4749;3800;0;-19;-14;21089;
367;4415;-327;54;921;488;4751;3800;0;-19;-14;51375;
379;4551;-331;61;927;488;4752;3800;0;0;-1;34660;
379;4551;-331;61;927;488;4752;3800;0;0;-1;34660;
381;4574;-329;55;924;490;4751;3801;0;0;-1;5185;
381;4574;-329;55;924;490;4751;3801;0;0;-1;5185;
397;4757;-331;55;923;489;4750;3799;-19;0;-1;24563;
397;4757;-331;55;923;489;4750;3799;-19;0;-1;24563;
399;4780;-329;55;922;490;4752;3801;0;0;-1;63359;
399;4780;-329;55;922;490;4752;3801;0;0;-1;63359;
411;4917;-330;53;923;488;4752;3801;-19;-19;-14;56362;
411;4917;-330;53;923;488;4752;3801;-19;-19;-14;56362;
413;4940;-329;59;920;493;4750;3801;-19;-19;-14;20613;
413;4940;-329;59;920;493;4750;3801;-19;-19;-14;20613;
427;5099;-328;62;925;488;4753;3800;-19;-19;-14;51126;
427;5099;-328;62;925;488;4753;3800;-19;-19;-14;51126;
429;5123;-328;56;920;489;4750;3800;-19;-19;-14;41168;
429;5123;-328;56;920;489;4750;3800;-19;-19;-14;41168;
431;5146;-329;57;923;491;4753;3802;-19;-19;-14;12221;
431;5146;-329;57;923;491;4753;3802;-19;-19;-14;12221;
443;5283;-334;60;923;489;4754;3801;0;0;-1;8528;
443;5283;-334;60;923;489;4754;3801;0;0;-1;8528;
445;5306;-331;60;928;487;4752;3801;0;0;-1;7774;
445;5306;-331;60;928;487;4752;3801;0;0;-1;7774;
459;5466;-331;58;916;488;4753;3800;0;0;-1;61451;
461;5489;-328;56;921;491;4751;3803;0;0;-1;31952;
461;5489;-328;56;921;491;4751;3803;0;0;-1;31952;
463;5513;-332;54;927;490;4751;3799;0;0;-1;15618;
463;5513;-332;54;927;490;4751;3799;0;0;-1;15618;
477;5672;-330;54;922;490;4753;3800;-19;-19;-14;22828;
477;5672;-330;54;922;490;4753;3800;-19;-19;-14;22828;
491;5831;-328;56;918;490;4750;3802;-19;-19;-14;6849;
491;5831;-328;56;918;490;4750;3802;-19;-19;-14;6849;
493;5855;-325;61;928;489;4752;3800;-19;-19;-14;5294;
493;5855;-325;61;928;489;4752;3800;-19;-19;-14;5294;
495;5879;-334;62;923;489;4753;3800;-19;-19;-14;62720;
495;5879;-334;62;923;489;4753;3800;-19;-19;-14;62720;
507;6015;-332;56;925;491;4752;3800;0;0;-1;24975;
507;6015;-332;56;925;491;4752;3800;0;0;-1;24975;
509;6038;-328;55;921;489;4750;3799;0;-19;-14;5874;
509;6038;-328;55;921;489;4750;3799;0;-19;-14;5874;
523;6198;-334;58;927;491;4753;3800;0;0;-1;50189;
523;6198;-334;58;927;491;4753;3800;0;0;-1;50189;
525;6221;-334;55;926;489;4751;3800;0;0;-1;30183;
525;6221;-334;55;926;489;4751;3800;0;0;-1;30183;
