num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez; state
1;960;2703;99085;59;0.000000;29.090523;0
2;1816;2704;99086;59;-0.100846;28.304026;0
3;2579;2704;99089;59;-0.304576;28.893206;0
4;3316;2705;99084;59;0.065113;28.304026;0
5;4080;2705;99083;59;0.184453;28.499962;0
6;4807;2706;99090;59;-0.374468;28.010984;0
7;5571;2706;99090;59;-0.385729;26.849165;0
8;6296;2706;99086;59;-0.087062;30.786314;0
9;7071;2707;99088;59;-0.253050;26.179100;0
10;7807;2707;99088;59;-0.239459;23.739637;0
11;8573;2707;99090;59;-0.408720;23.924547;0
12;9322;2707;99089;59;-0.289406;22.731018;0
13;10086;2707;99086;59;-0.040656;22.822136;0
14;10823;2707;99090;59;-0.407555;23.279444;0
15;11562;2707;99089;59;-0.319415;20.755756;0
16;12309;2707;99086;59;-0.074186;20.314667;0
17;13085;2708;99088;59;-0.242285;20.402651;0
18;13834;2708;99088;59;-0.198683;20.139019;0
19;14586;2708;99093;59;-0.631004;20.667307;0
20;15323;2708;99090;59;-0.395378;21.378164;0
21;16089;2708;99089;59;-0.319660;21.378164;0
22;16825;2708;99089;59;-0.315914;20.667307;0
23;17589;2709;99088;59;-0.247460;20.755756;0
24;18339;2709;99090;59;-0.387190;17.225109;0
25;19104;2708;99086;59;-0.102329;11.362883;0
26;19843;2709;99090;59;-0.428682;9.538148;0
27;20608;2708;99090;59;-0.446491;8.971802;0
28;21344;2708;99093;59;-0.645066;9.253889;0
29;22097;2706;99090;59;-0.395353;9.183164;0
30;22847;2706;99092;59;-0.546083;8.483435;0
31;23601;2706;99090;59;-0.421587;9.324752;0
32;24338;2706;99092;59;-0.558035;13.267956;0
33;25102;2705;99090;59;-0.399537;49.726727;0
34;25851;2704;99091;59;-0.524468;56.955162;0
35;26628;2704;99091;59;-0.459296;53.787704;0
36;28291;2705;99089;59;-0.348895;60.202335;0
37;29056;2705;99087;59;-0.170265;55.932968;0
38;29793;2705;99090;59;-0.438698;54.289223;0
39;30559;2707;99089;59;-0.297368;46.857670;0
40;31295;2710;99086;59;-0.090623;37.038956;0
41;32063;2713;99087;60;-0.124150;41.441326;0
42;32799;2716;99088;60;-0.255186;46.151398;0
43;33564;2717;99090;61;-0.432909;45.449490;0
44;34314;2717;99090;61;-0.419547;48.762508;0
45;35067;2719;99089;61;-0.328993;44.636097;0
46;35818;2722;99090;62;-0.389166;34.173500;0
47;36581;2723;99086;62;-0.075394;28.108551;0
48;37319;2724;99087;62;-0.171736;26.465578;0
49;38084;2726;99093;63;-0.644159;56.443043;0
50;38821;2727;99090;63;-0.406805;37.038956;0
51;39587;2727;99094;63;-0.725953;42.457985;0
52;40349;2730;99094;64;-0.722523;38.558315;0
53;41100;2730;99091;64;-0.487071;36.394836;0
54;41837;2731;99092;64;-0.540028;32.310333;0
55;42587;2731;99092;64;-0.552190;52.048317;0
56;43338;2732;99093;64;-0.679270;42.004944;0
57;44114;2733;99093;64;-0.682963;54.289223;0
58;44852;2734;99092;64;-0.615563;10.917500;0
59;45602;2735;99092;64;-0.587569;13.112664;0
60;46354;2735;99092;64;-0.588307;19.267908;0
61;47118;2737;99088;64;-0.229962;27.816208;0
62;47855;2739;99092;65;-0.563598;24.481968;0
63;48606;2739;99091;65;-0.523435;24.668697;0
64;49355;2741;99090;65;-0.438863;23.832020;0
65;50120;2741;99089;65;-0.318933;23.555214;0
66;50882;2742;99090;65;-0.415242;22.913364;0
67;51609;2743;99092;65;-0.551724;23.187750;0
68;52371;2743;99091;65;-0.520036;23.463175;0
69;53123;2743;99090;65;-0.368703;22.822136;0
70;53899;2744;99089;65;-0.309725;22.640018;0
71;54625;2743;99094;65;-0.752496;23.279444;0
72;55387;2743;99090;65;-0.431332;21.378164;0
73;56140;2743;99092;65;-0.571600;18.750858;0
74;56901;2744;99089;64;-0.315178;19.963861;0
75;57639;2745;99088;64;-0.271211;21.199753;0
76;58401;2745;99090;64;-0.414974;20.933008;0
77;59140;2745;99092;64;-0.581940;44.173916;0
78;59913;2745;99090;64;-0.387526;58.893787;0
79;60652;2744;99088;64;-0.262108;44.520378;0
80;61416;2745;99091;64;-0.478516;39.547226;0
81;62181;2745;99088;64;-0.219504;54.918900;0
82;62932;2747;99088;64;-0.245136;43.026970;0
83;63684;2746;99091;64;-0.523413;57.469307;0
84;64420;2747;99089;64;-0.312470;55.171669;0
85;65248;2750;99090;64;-0.409216;58.374001;0
86;65999;2750;99091;64;-0.534938;53.537712;0
87;66763;2751;99090;64;-0.424066;58.763657;0
88;67500;2751;99088;64;-0.274374;59.808426;0
89;68265;2752;99089;64;-0.348682;59.808426;0
90;69015;2753;99091;64;-0.511094;60.202335;0
91;69768;2754;99094;64;-0.736907;59.808426;0
92;70529;2755;99091;65;-0.530773;59.808426;0
93;71269;2755;99092;65;-0.535612;60.070904;0
94;72018;2756;99091;65;-0.519827;60.070904;0
95;72792;2756;99091;65;-0.530590;59.677380;0
96;73541;2757;99090;65;-0.430317;60.465591;0
97;74306;2757;99088;65;-0.249805;60.333900;0
98;75043;2759;99089;65;-0.304965;60.202335;0
99;75808;2759;99088;65;-0.250956;60.597412;0
100;76547;2759;99089;65;-0.328165;59.808426;0
101;77312;2759;99091;65;-0.501202;57.985500;0
102;78036;2760;99089;65;-0.319778;56.955162;0
103;78814;2761;99091;65;-0.473992;52.295300;0
104;79563;2762;99091;65;-0.515356;49.968998;0
105;80341;2762;99087;65;-0.129170;49.002815;0
106;81067;2763;99093;65;-0.642112;48.882603;0
107;81831;2764;99091;66;-0.471885;19.528015;0
108;82796;2764;99089;66;-0.280133;51.555840;0
109;83546;2766;99092;66;-0.551678;50.455029;0
110;84273;2765;99089;66;-0.339190;60.729370;0
111;85037;2766;99092;66;-0.615670;26.083838;0
112;85786;2766;99093;66;-0.663639;10.623146;0
113;86562;2768;99091;66;-0.497423;5.638560;0
114;87583;2769;99090;66;-0.414358;12.420023;0
115;88347;2768;99090;66;-0.377827;20.667307;0
116;89096;2768;99091;65;-0.482956;20.844324;0
117;89847;2769;99091;65;-0.456390;23.096172;0
118;90597;2770;99089;65;-0.309773;6.082654;0
119;91338;2771;99089;65;-0.286418;6.599544;0
120;92088;2774;99089;65;-0.317621;3.316491;0
121;92864;2773;99090;65;-0.407204;6.018738;0
122;93625;2773;99088;65;-0.250964;6.082654;0
123;94352;2773;99089;65;-0.308111;5.079168;0
124;95189;2775;99087;65;-0.163240;5.954980;0
125;95942;2776;99090;65;-0.427816;8.001893;0
126;96776;2776;99090;65;-0.420000;8.207423;0
127;97516;2775;99089;65;-0.329350;5.827935;0
128;98266;2776;99090;65;-0.377600;7.259265;0
129;99030;2776;99090;65;-0.434217;17.392746;0
130;99792;2776;99090;65;-0.383558;14.928285;0
131;100532;2775;99087;65;-0.140572;16.559284;0
132;101269;2776;99090;65;-0.383198;16.725021;0
133;102009;2776;99092;65;-0.616234;41.779144;0
134;102781;2776;99090;64;-0.435020;64.612923;0
135;103520;2777;99086;64;-0.061804;48.283363;0
136;104293;2778;99087;64;-0.173953;48.762508;0
137;105057;2780;99088;64;-0.277190;49.484943;0
138;105806;2780;99089;64;-0.326525;52.790764;0
139;106572;2780;99089;64;-0.328219;29.486536;0
140;107296;2780;99089;64;-0.320561;41.891983;0
141;108060;2781;99087;64;-0.114601;41.104595;0
142;108796;2781;99089;64;-0.313342;48.762508;0
143;109560;2781;99089;64;-0.317614;38.667721;0
144;110312;2781;99083;64;0.152778;40.880692;0
145;111076;2782;99089;64;-0.280419;16.725021;0
146;111813;2783;99095;64;-0.799325;18.750858;0
147;112589;2783;99086;64;-0.104933;93.096245;0
148;113325;2783;99087;64;-0.129823;90.666679;0
149;114079;2783;99082;64;0.257307;86.379623;0
150;114828;2784;99085;64;0.012607;90.024620;0
151;115580;2785;99086;64;-0.076390;70.153099;0
