num; vec1; vec2; vec3; delta; ksi
1;1555;-0.000000;-0.000000;-0.000000;-176.822464;-24.690739
2;2305;-0.000042;-1.000000;0.000000;-158.126724;-23.430893
3;3056;0.999989;-0.000000;0.004705;-158.443375;-25.922646
4;3794;-0.000000;-0.000094;1.000000;-141.009842;-22.592545
5;4545;0.000000;-0.000000;-0.000000;-113.614906;-20.388607
6;5296;-0.000000;-1.000000;-0.000000;-100.279350;-18.670649
7;6034;-0.000000;-1.000000;-0.000000;-66.544952;-19.512569
8;6785;-0.000000;-1.000000;0.000000;-57.295406;-18.548193
9;7535;-0.002007;-0.999998;-0.000000;-56.811489;-27.093868
10;8298;0.000000;-1.000000;0.000000;-53.710796;-17.063389
11;9062;0.000000;-1.000000;0.000000;-46.310295;-18.177908
12;9812;-0.000000;-0.000000;0.000000;-38.166859;-21.741465
13;10550;0.000000;-1.000000;0.000000;-44.762497;-19.992672
14;11301;-0.000000;-0.000000;-0.000000;-50.612438;-20.849895
15;12049;1.000000;-0.000000;0.000000;-45.133369;-20.318926
16;12812;0.000000;-1.000000;-0.000000;-45.427048;-20.407280
17;13550;0.000000;-0.000000;-0.000000;-43.374451;-20.517101
18;14313;-0.000000;-0.000000;-0.000000;-45.482601;-22.174484
19;15062;-0.000000;-0.000000;0.000000;-43.368710;-22.886339
20;15814;0.999643;-0.026709;-0.000000;-43.542221;-19.802267
21;16553;0.000000;-0.000000;0.000000;-49.006496;-19.505424
22;17328;0.000000;-0.000101;1.000000;-43.377007;-22.421043
23;18067;-0.000928;-0.000000;-1.000000;-62.253799;-19.987591
24;18842;-0.000000;-1.000000;0.000000;-44.180103;-23.762646
25;19582;-0.000000;-0.423488;-0.905902;-37.222988;-23.168846
26;20321;-0.000000;-1.000000;-0.000000;-35.247349;-24.429159
27;21072;-0.000001;-0.051448;0.998676;-28.098772;-28.710789
28;21835;-0.000000;-0.002061;-0.999998;-28.346498;-28.201265
29;22587;-0.000000;-1.000000;0.000000;-37.778587;-29.026392
30;23326;0.242060;-0.970261;-0.000000;-28.338394;-30.172613
31;24077;-0.000000;-0.000000;-0.000000;-45.035713;-23.447752
32;24839;0.000000;-0.000000;-0.000000;-69.723312;-37.018238
33;25591;0.000000;-0.000000;-0.000000;-80.878891;-48.314404
34;26342;-0.000000;-0.000000;-1.000000;-72.466652;-49.796402
35;28031;0.000000;-1.000000;-0.000000;-68.696030;-60.064655
36;28782;-0.000000;-1.000000;-0.000000;-57.065247;-33.793209
37;29533;-0.000000;-1.000000;0.000000;-77.534241;-60.114185
38;30283;0.000000;-1.000000;0.000000;-85.547806;-61.544449
39;31023;-0.000000;-0.000001;1.000000;-74.921478;-59.989738
40;31788;0.000000;-0.000004;-1.000000;-72.824402;-69.004425
41;32539;0.000000;-0.000000;0.000000;-71.966011;-62.062752
42;33302;-0.000000;-0.000000;0.000000;-72.787834;-58.593918
43;34030;-0.000000;-1.000000;0.000000;-71.267647;-62.848125
44;34804;0.000000;-1.000000;0.000000;-71.361031;-57.515953
45;35557;1.000000;-0.000000;0.000000;-71.520500;-63.659969
46;36320;1.000000;-0.000000;-0.000000;-75.486404;-65.378563
47;37047;-0.000000;-0.000000;0.000000;-74.650063;-59.984230
48;37822;-0.000000;-1.000000;-0.000000;-83.615158;-59.415295
49;38561;-0.000000;-0.000000;-0.000000;-84.591591;-62.302017
50;39325;1.000000;-0.000000;0.000012;-85.805786;-63.034443
51;40063;0.000042;-0.000000;1.000000;-83.219765;-59.737316
52;40826;-0.000000;-1.000000;-0.000169;-85.336853;-66.129295
53;41565;0.000000;-0.000000;0.000000;-84.352066;-62.386726
54;42316;nan;nan;-nan;-87.693428;-61.564152
55;43065;1.000000;-0.000000;-0.000000;-95.574928;-57.989422
56;43840;0.000000;-0.000000;0.000000;-86.184341;-57.691303
57;44590;-0.000000;-1.000000;0.000019;-89.814796;-57.051113
58;45341;0.000000;-1.000000;0.000000;-87.387711;-57.119911
59;46092;0.000000;-0.000000;-0.000000;-81.647736;-57.515934
60;46831;-0.000000;-0.000000;-0.000000;-85.838997;-53.530201
61;47594;-0.000000;-0.000000;0.000000;-81.765221;-58.072865
62;48344;-0.000000;-0.000000;0.000000;-77.157143;-58.079670
63;49094;0.000000;-0.000000;0.000000;-75.181999;-57.062981
64;49857;0.000000;-1.000000;0.000000;-80.793953;-54.218502
65;50597;-0.000000;-1.000000;-0.000000;-69.495819;-57.967636
66;51347;0.000000;-0.000000;-1.000000;-71.231834;-55.073669
67;52098;0.000000;-0.000000;-0.000000;-74.934410;-52.310780
68;52861;-0.000000;-0.000000;0.000000;-71.922585;-56.858253
69;53599;0.000000;-0.000000;-0.000000;-73.182968;-56.337120
70;54363;1.000000;-0.000000;-0.000000;-80.321892;-53.773232
71;55114;1.000000;-0.000000;0.000000;-83.119476;-58.314526
72;55878;-1.000000;-0.000008;0.000000;-75.362534;-56.116890
73;56616;0.000000;-0.000000;0.000000;-79.879051;-54.364864
74;57377;0.000000;-0.000000;-0.000000;-76.311279;-55.121773
75;58128;-0.000000;-0.000000;-1.000000;-68.911148;-58.221352
76;58878;0.000000;-0.000000;-0.000000;-72.075264;-56.559372
77;59640;0.000000;-0.000000;-0.000000;-75.056664;-56.933899
78;60379;0.000000;-1.000000;0.000370;-74.547577;-63.289650
79;61156;0.000000;-1.000000;-0.000000;-71.755112;-58.363167
80;61908;0.000000;-0.000000;1.000000;-72.604889;-61.125725
81;62670;-0.000000;-1.000000;-0.000000;-70.820213;-61.679222
82;63397;0.000000;-0.000000;0.000000;-80.399017;-57.009579
83;64160;-0.000000;-1.000000;0.000000;-80.954765;-62.904305
84;64975;0.000000;-1.000000;0.000000;-71.811630;-54.142426
85;65738;-0.000000;-0.000000;-0.000000;-67.782890;-60.936405
86;66464;0.022839;-0.999739;0.000000;-67.662140;-59.593998
87;67239;0.000000;-0.000000;-1.000000;-71.357399;-56.448055
88;67990;-0.000000;-0.000000;0.000000;-70.032257;-58.478951
89;68755;-0.000000;-0.000000;0.000000;-64.160660;-60.051949
90;69494;1.000000;-0.000471;-0.000000;-69.458290;-55.394135
91;70257;-0.000000;-1.000000;-0.000000;-69.747093;-61.885426
92;71008;0.000000;-0.000000;0.000000;-65.118500;-57.077007
93;71757;0.000000;-0.000000;-0.000000;-64.644661;-54.538326
94;72517;0.584128;-0.811662;0.000000;-59.184856;-55.285557
95;73269;-1.000000;-0.000000;0.000000;-53.576073;-62.710922
96;74032;-0.000000;-0.000000;1.000000;-37.065834;-56.266510
97;74784;-0.000000;-0.000000;0.000000;-36.045231;-53.676060
98;75534;-0.000000;-0.000000;1.000000;-37.596912;-63.863430
99;76275;-1.000000;-0.000000;0.000000;-31.944372;-53.939777
100;77025;1.000000;-0.000000;0.000000;-32.955006;-57.594753
101;77776;-0.000000;-1.000000;-0.000000;-30.300716;-61.263084
102;78539;-0.000000;-1.000000;0.000000;-27.856396;-53.451622
103;79291;0.000000;-0.000000;0.000000;-38.911270;-56.333458
104;80056;0.000000;-0.000000;0.000000;-35.960934;-52.167938
105;80807;0.000000;-0.000000;-0.000000;-33.247284;-50.543774
106;81568;-0.000000;-0.000000;0.000000;-35.772762;-56.496014
107;82307;0.000000;-0.000000;-0.000000;-48.748661;-65.088867
108;83285;-0.000000;-0.000000;-0.000000;-47.569565;-57.273907
109;84013;-0.000000;-0.000000;0.000000;-59.405918;-62.160206
110;84775;-0.000000;-0.000000;-0.000000;-61.247536;-59.624710
111;85513;0.021142;-0.021352;0.999548;-66.172592;-56.414112
112;86288;-0.000650;-1.000000;-0.000000;-68.443588;-54.508923
113;87039;-0.000000;-0.000008;1.000000;-59.733448;-56.112556
114;88085;0.000000;-1.000000;-0.000000;-74.639854;-54.720978
115;88823;0.000000;-1.000000;0.000000;-73.445213;-53.799770
116;89586;0.000000;-0.000000;-1.000000;-69.990829;-53.092247
117;90312;0.000000;-0.000000;0.000000;-66.099548;-54.817783
118;91075;0.000000;-1.000000;-0.000000;-65.066910;-59.310501
119;91815;0.000000;-0.000000;-0.000000;-77.882675;-53.310238
120;92589;-0.000001;-0.455358;0.890308;-78.786400;-51.042370
121;93340;-1.000000;-0.000000;-0.000000;-63.011688;-63.215508
122;94090;-0.000000;-0.000000;-0.000000;-62.038940;-57.637028
123;94841;-0.000000;-0.000000;0.000000;-69.822777;-54.394756
124;95680;-0.000000;-1.000000;0.000000;-78.328331;-55.211258
125;96432;0.000000;-1.000000;0.000000;-77.126297;-55.013165
126;97241;-0.000000;-0.000000;1.000000;-69.818123;-62.433254
127;97993;0.000000;-0.000000;0.000000;-74.181839;-52.485104
128;98755;-0.000000;-0.000000;0.000000;-87.721542;-53.520954
129;99532;0.000000;-0.000000;-0.000000;-81.022881;-57.379269
130;100258;-0.000000;-0.000000;0.000000;-79.318062;-54.972885
131;101009;-0.000000;-0.000000;-0.000000;-78.864456;-55.876060
132;101747;-0.000000;-1.000000;-0.000000;-74.690063;-57.265648
133;102520;0.000000;-1.000000;0.000001;-90.779457;-40.576866
134;103246;-0.000000;-0.000000;0.000000;-93.348175;-24.560831
135;104033;1.000000;-0.000365;-0.000000;-97.725327;-27.134819
136;104771;-0.000000;-1.000000;-0.000000;-104.352867;-29.552505
137;105546;0.000000;-1.000000;-0.000000;-111.076370;-28.272766
138;106273;0.000000;-0.000000;0.000000;-102.902901;-30.001366
139;107035;0.000000;-0.000000;0.000000;-110.705246;-31.655544
140;107786;0.000000;-0.000000;-0.000000;-119.233727;-27.754520
141;108536;0.000000;-0.000000;0.000000;-111.747658;-29.306999
142;109286;-1.000000;-0.000000;-0.000000;-109.419594;-31.002890
143;110039;-0.000000;-1.000000;0.000005;-116.638657;-26.789328
144;110802;0.000000;-1.000000;0.000000;-119.466988;-24.237103
145;111552;-0.000000;-1.000000;-0.000000;-146.556412;-22.324945
146;112326;1.000000;-0.000000;0.000000;-118.766693;-55.801880
147;113052;0.000004;-0.049312;0.998783;-124.971687;88.761749
148;113817;0.000000;-0.000001;1.000000;-128.641205;70.573174
149;114555;-1.000000;-0.000000;-0.000000;-124.045494;-82.758514
150;115318;-0.026780;-0.999641;0.000000;-121.151833;-60.970146
151;116056;-0.000000;-0.000000;-0.000000;-127.326256;-34.082718
152;116819;0.000000;-1.000000;-0.000000;-119.176788;-27.894327
153;117754;-0.000000;-0.000000;0.000000;-103.689713;-81.307411
154;118580;-0.000000;-0.000000;-0.000000;-92.919487;67.618378
155;119367;-0.000000;-1.000000;0.000000;-100.399391;-72.739723
156;120150;0.000000;-0.000000;1.000000;-107.241173;-33.251019
157;120974;-0.000000;-0.000000;-0.000000;-114.179993;-24.155773
158;121764;-0.000000;-0.011558;0.999933;-114.620789;-24.384460
159;122593;0.000000;-1.000000;0.000000;-115.125954;-18.290201
160;123369;-0.000000;-0.000000;0.000000;-132.385727;-7.063104
161;124181;0.000000;1.000000;-0.000000;151.554092;-15.430357
162;124966;0.000000;0.000000;-0.000000;150.362259;-17.140532
163;125780;0.000000;0.000000;-0.000000;156.552917;-17.854612
164;126554;0.000000;0.999912;0.013255;136.764160;-18.143921
165;127370;-0.000000;0.000000;0.000000;132.487534;-15.401877
166;128157;0.000000;0.000000;0.000000;168.789139;-16.284483
167;129032;-1.000000;-0.000000;-0.000000;-171.056961;-24.092363
168;129832;0.000000;-0.000000;0.000000;-152.638870;-7.865674
169;130631;-1.000000;-0.000000;0.000000;-35.659935;-5.818138
170;131454;0.000287;1.000000;-0.000000;30.054707;-13.526909
171;132241;-0.000000;0.000000;-0.000000;42.226894;-16.059601
172;133925;-0.000000;1.000000;-0.000000;42.586601;-34.196766
173;134650;0.000000;0.000000;-1.000000;42.805519;-38.080837
174;135426;-0.000000;0.000000;0.000000;26.639648;-27.336887
175;136164;-0.000000;0.000000;-0.000000;36.176430;-31.460836
176;136927;-0.000000;0.000000;-1.000000;42.349468;-37.523247
177;137656;-0.000000;0.000000;0.000000;61.927956;-26.247810
178;138419;-0.000000;0.000000;-0.000000;46.270107;-30.294884
179;139180;1.000000;0.000004;0.000000;23.023010;-34.564651
180;139943;0.000000;0.000000;1.000000;12.376570;-44.867668
181;140681;-0.000000;1.000000;0.000000;50.046307;-30.460272
