num; time; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3
1;1920;51;-17;-999;495;4756;3802;4;2;0
2;2131;56;-16;-998;471;4772;3801;0;-19;-13
3;2275;43;-8;-991;511;4770;3805;0;-19;-13
4;2922;57;-26;-1004;498;4757;3804;0;-19;-13
5;3297;56;-3;-997;514;4764;3803;0;-19;-13
6;3413;52;-14;-1001;488;4774;3800;0;0;0
7;3557;51;-14;-993;490;4760;3803;0;0;0
8;3673;46;-9;-995;482;4763;3804;-19;0;0
9;3873;49;-18;-993;500;4753;3803;0;-19;-13
10;3989;51;-17;-991;497;4750;3804;0;0;0
11;4133;55;-12;-995;497;4758;3802;0;0;0
12;4276;50;-11;-999;497;4754;3802;0;0;0
13;4420;61;-16;-1002;558;4715;3768;-19;0;0
14;4536;45;-20;-993;508;4747;3804;-19;0;0
15;4680;70;-26;-991;425;4793;3746;-19;0;0
16;4809;54;-14;-997;542;4772;3778;0;-19;-13
17;4953;42;-21;-1001;529;4738;3814;0;-19;-13
18;5069;49;-10;-994;527;4738;3763;0;-19;-13
19;5214;47;-39;-996;490;4759;3811;0;-19;-13
20;5333;36;-17;-1043;392;4640;3822;0;0;0
21;5480;55;-32;-999;504;4755;3796;0;-19;-13
22;5599;40;4;-993;567;4855;3783;0;-19;-13
23;5818;63;-6;-983;449;4748;3770;-19;-19;-13
24;5947;56;-7;-990;474;4758;3793;0;-19;-13
25;6092;49;-15;-996;489;4749;3829;0;-19;-13
26;6208;37;-2;-995;454;4682;3836;0;-19;-13
27;6352;30;-23;-966;501;4716;3808;0;-19;-13
28;6469;48;-15;-990;493;4735;3806;-19;0;0
29;6614;55;-1;-992;489;4748;3805;-19;0;0
30;6731;52;-11;-992;498;4753;3803;-19;0;0
31;6933;40;-8;-1002;505;4760;3804;-19;-19;-13
32;7049;38;-17;-998;490;4740;3801;0;-19;-13
33;7194;46;-21;-983;497;4749;3801;0;-19;-13
34;7323;46;-13;-1000;510;4765;3802;0;0;0
35;7466;53;-30;-994;480;4753;3801;0;0;0
36;7596;42;-7;-994;560;4740;3812;-19;0;0
37;7753;43;-20;-986;402;4811;3788;-19;0;0
38;7882;55;2;-982;489;4736;3806;-19;0;0
39;8025;54;-20;-989;451;4727;3802;-19;-19;-13
40;8141;51;-21;-992;504;4783;3800;0;-19;-13
41;8285;57;-8;-1002;520;4778;3800;0;-19;-13
42;8400;40;-14;-992;495;4727;3810;-19;0;0
43;8557;45;-14;-993;498;4749;3806;-19;0;0
44;8673;51;-9;-996;473;4773;3797;-19;-19;-13
45;8886;43;-20;-991;455;4759;3798;0;-19;-13
46;9003;56;-12;-1006;509;4778;3803;0;0;0
47;9147;47;-16;-992;507;4775;3799;0;0;0
48;9276;91;38;-991;594;4776;3835;-19;0;0
49;9420;58;-15;-1002;513;4749;3805;-19;0;0
50;9536;55;-8;-996;546;4783;3805;-19;-19;-13
51;9680;50;-12;-996;466;4752;3802;-19;-19;-13
52;9799;46;1;-974;471;4719;3807;0;-19;-13
53;10002;56;-15;-1005;517;4822;3794;0;-19;-13
54;10118;43;-16;-998;459;4686;3797;-19;0;0
55;10261;56;-2;-1006;575;4772;3828;-19;0;0
56;10390;53;-18;-994;501;4751;3809;-19;-19;-13
57;10534;51;-26;-995;497;4759;3813;-19;-19;-13
58;10650;47;-24;-1000;495;4756;3801;0;-19;-13
59;10794;32;-18;-1006;483;4747;3801;0;-19;-13
60;11018;67;-8;-988;465;4678;3819;-19;0;0
61;11162;43;-39;-970;457;4783;3800;-19;0;0
62;11278;71;9;-990;482;4765;3802;-19;-19;-13
63;11422;49;-23;-996;495;4756;3804;-19;-19;-13
64;11538;56;-21;-992;499;4756;3803;0;-19;-13
65;11682;43;-7;-1001;505;4767;3807;0;-19;-13
66;11798;49;-16;-990;500;4757;3804;-19;0;0
67;12002;53;-11;-1002;498;4760;3802;-19;0;0
68;12122;53;-18;-994;492;4754;3802;-19;0;0
69;12266;61;-12;-993;491;4744;3803;-19;0;0
70;12389;51;-25;-988;471;4742;3799;0;0;0
71;12591;56;-37;-996;510;4744;3805;-19;0;0
