num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez
1;2134;2282;99411;56;0.000000;8.971802;
2;3416;2284;99412;56;-0.039521;9.324752;
3;3991;2285;99412;56;-0.019643;8.070260;
4;4538;2285;99412;56;-0.019643;9.395749;
5;5071;2285;99412;56;-0.026889;10.549889;
6;5717;2285;99411;56;0.026833;10.476764;
7;6211;2285;99409;56;0.232252;9.824559;
8;6845;2285;99411;56;0.068654;10.113105;
9;7325;2285;99410;56;0.124120;10.040769;
10;7884;2285;99411;56;0.050518;12.115445;
11;8403;2286;99411;56;-0.003204;17.476744;
12;9005;2286;99412;56;-0.024619;15.656281;
13;9539;2286;99408;56;0.249225;13.345789;
14;10120;2287;99411;56;-0.011295;6.146724;
15;10652;2286;99410;56;0.138661;5.388312;
16;11280;2287;99410;56;0.151988;6.018738;
17;11911;2287;99410;56;0.151988;5.954980;
18;12503;2287;99412;56;-0.050317;5.202321;
19;13082;2287;99410;56;0.155109;4.713752;
20;13581;2287;99410;56;0.155109;4.895695;
21;14227;2288;99409;56;0.173621;5.017842;
22;14694;2288;99409;56;0.173621;4.774228;
23;15366;2288;99413;56;-0.121645;4.895695;
24;15994;2289;99409;56;0.223070;4.653448;
25;16528;2289;99409;56;0.223070;5.827935;
26;17066;2289;99411;56;0.017638;7.392983;
27;17612;2289;99411;56;0.033869;7.797618;
28;18257;2288;99407;56;0.331732;8.483435;
29;18723;2289;99409;56;0.168130;6.927543;
30;19408;2289;99409;56;0.236557;7.259265;
31;19984;2289;99409;56;0.197848;7.126134;
32;20520;2289;99410;56;0.099018;6.927543;
33;21053;2289;99409;56;0.178340;7.392983;
34;21643;2290;99411;56;0.067088;7.192626;
35;22162;2290;99410;56;0.107702;7.662162;
36;22818;2290;99410;56;0.074708;8.138771;
37;23298;2290;99410;56;0.154033;12.039616;
38;24705;2291;99409;56;0.205698;13.112664;
39;25307;2291;99408;56;0.296760;15.574912;
40;25774;2291;99409;56;0.166686;7.460061;
41;26425;2291;99409;56;0.211264;10.623146;
42;26957;2292;99410;56;0.105192;11.437565;
43;27493;2291;99409;56;0.203492;9.609550;
44;28029;2291;99410;56;0.113115;8.483435;
45;28783;2292;99409;56;0.197476;7.527283;
46;29302;2291;99414;56;-0.251962;12.420023;
47;30084;2292;99413;56;-0.144290;13.112664;
48;30674;2292;99409;56;0.187113;13.894096;
49;31160;2293;99411;56;0.041495;11.362883;
50;31762;2293;99412;56;-0.068388;10.040769;
51;32282;2292;99408;56;0.257452;10.991407;
52;32815;2292;99413;56;-0.129582;9.253889;
53;33414;2293;99410;56;0.091940;9.681086;
54;33996;2293;99411;56;0.067402;9.681086;
55;34642;2293;99408;56;0.244350;13.423745;
56;35123;2293;99410;56;0.091256;12.267482;
57;35642;2293;99408;56;0.245426;9.183164;
58;36311;2293;99408;56;0.282380;8.345149;
59;36969;2293;99409;56;0.191167;6.599544;
60;37438;2294;99409;56;0.172348;5.638560;
61;38060;2294;99410;56;0.102399;5.764651;
62;38581;2294;99410;56;0.085633;8.138771;
63;39115;2294;99410;56;0.072141;9.752756;
64;39706;2294;99412;56;-0.013206;13.423745;
65;40298;2294;99408;56;0.304577;12.957870;
66;41011;2295;99410;56;0.077715;9.112573;
67;41564;2295;99413;56;-0.143278;8.831578;
68;42082;2294;99409;56;0.195373;9.896497;
69;42628;2295;99409;56;0.220452;9.112573;
70;43352;2295;99411;56;0.001362;12.115445;
71;43819;2295;99412;56;-0.089166;10.696555;
72;45282;2296;99415;56;-0.296813;12.191400;
73;45762;2296;99414;56;-0.227695;13.190248;
74;46530;2296;99409;56;0.203255;13.267956;
75;47107;2296;99408;56;0.284647;13.190248;
76;47637;2296;99407;56;0.396987;13.501824;
77;48272;2297;99409;56;0.210743;13.894096;
78;48819;2297;99409;56;0.201747;13.580028;
79;49449;2297;99411;56;0.000103;14.130923;
80;49972;2297;99409;56;0.225604;12.880659;
81;50560;2297;99406;56;0.414841;17.392746;
82;51080;2298;99406;56;0.426973;15.574912;
83;51626;2298;99406;56;0.426973;11.587314;
84;52178;2298;99410;56;0.117202;21.288902;
85;52767;2299;99409;56;0.174055;11.888340;
86;53409;2298;99412;56;-0.037132;6.210952;
87;53888;2299;99411;56;-0.009458;7.059789;
88;54554;2299;99409;56;0.165601;7.662162;
89;55188;2299;99406;56;0.424653;8.901622;
90;55821;2299;99409;56;0.165463;8.414222;
91;56300;2300;99415;56;-0.337499;7.662162;
92;56973;2300;99408;56;0.257085;7.192626;
93;57602;2300;99413;56;-0.138582;6.146724;
94;58081;2300;99408;56;0.266494;6.664843;
95;58658;2300;99409;56;0.231044;6.339870;
96;59360;2301;99406;56;0.453837;7.662162;
97;59879;2301;99405;56;0.500333;8.001893;
98;60423;2301;99410;56;0.153193;8.207423;
99;61068;2301;99412;56;-0.016148;8.483435;
100;61654;2302;99409;56;0.230640;8.414222;
101;62242;2302;99412;56;-0.025963;7.865580;
102;62712;2302;99407;56;0.334542;8.001893;
103;63339;2303;99403;56;0.672978;8.001893;
104;63873;2303;99406;56;0.423324;8.070260;
105;64463;2304;99413;56;-0.122760;7.865580;
106;64996;2304;99409;56;0.201617;8.207423;
107;65587;2304;99411;56;0.040722;7.933665;
108;66881;2304;99408;56;0.253716;7.865580;
109;67470;2305;99410;56;0.103730;8.070260;
110;68194;2305;99410;56;0.072095;9.609550;
111;68663;2305;99409;56;0.205049;9.324752;
112;69328;2305;99408;56;0.283185;9.609550;
113;69795;2305;99411;56;0.036380;9.609550;
114;70330;2306;99407;56;0.394192;10.476764;
115;70971;2306;99408;56;0.290703;10.623146;
116;71547;2306;99406;56;0.485158;10.623146;
117;72178;2307;99410;56;0.139356;10.258172;
118;72797;2306;99408;56;0.321662;10.185573;
119;73323;2307;99408;56;0.289899;8.070260;
120;73882;2307;99407;56;0.338187;5.202321;
121;74526;2308;99409;56;0.237289;7.797618;
122;74991;2308;99405;56;0.518341;7.259265;
123;75601;2308;99404;56;0.588714;4.895695;
124;76140;2308;99404;56;0.616530;4.060114;
125;76674;2308;99404;56;0.616530;8.070260;
126;77266;2309;99406;56;0.460555;8.622276;
127;77843;2309;99405;56;0.545794;8.138771;
128;78362;2309;99409;55;0.237476;8.276217;
129;78922;2309;99408;55;0.311118;7.797618;
130;79553;2310;99406;56;0.476535;7.729818;
131;80229;2310;99409;55;0.190730;8.276217;
132;80804;2310;99409;55;0.165505;7.662162;
133;81336;2310;99406;55;0.477652;7.797618;
134;81895;2311;99408;55;0.275292;7.662162;
135;82421;2311;99406;55;0.485864;7.594650;
136;83005;2311;99410;55;0.126412;7.527283;
137;83679;2311;99405;55;0.507146;7.126134;
138;84213;2312;99406;55;0.425612;6.599544;
139;84734;2312;99407;55;0.405451;6.927543;
140;85337;2312;99408;55;0.270993;8.552786;
141;85966;2312;99407;55;0.410631;8.761673;
142;86544;2312;99404;55;0.592160;8.971802;
143;87842;2312;99407;55;0.358151;16.559284;
144;88374;2313;99408;55;0.314118;21.021809;
145;88920;2313;99404;55;0.622227;21.288902;
146;89451;2314;99408;55;0.281568;20.490753;
147;90122;2314;99405;55;0.534950;16.808067;
148;90808;2314;99407;55;0.378415;21.557041;
149;91292;2314;99407;55;0.409384;18.493914;
150;91920;2314;99409;55;0.165687;17.729443;
151;92413;2315;99407;55;0.362762;16.974541;
152;93136;2315;99407;55;0.347784;17.225109;
153;93697;2315;99404;55;0.601063;19.354492;
154;94244;2315;99407;55;0.396885;18.068029;
155;94769;2316;99410;55;0.142038;14.847999;
156;95372;2316;99408;55;0.262986;10.917500;
157;95947;2316;99409;55;0.227289;8.276217;
158;96527;2316;99406;55;0.419866;8.138771;
159;97070;2317;99409;55;0.236189;8.070260;
160;97698;2317;99407;55;0.382147;7.797618;
161;98439;2318;99405;55;0.514592;6.927543;
162;98906;2318;99405;55;0.524278;8.483435;
163;99452;2318;99406;55;0.451190;9.324752;
164;99984;2319;99407;55;0.339818;7.662162;
165;100629;2319;99410;55;0.152982;7.460061;
166;101100;2319;99408;55;0.307390;7.865580;
167;101706;2319;99406;55;0.454810;8.345149;
168;102238;2320;99410;55;0.155359;7.933665;
169;102879;2320;99410;55;0.121584;9.183164;
170;103361;2321;99408;55;0.305056;14.130923;
171;103962;2320;99404;55;0.614199;19.702005;
172;104607;2321;99404;55;0.617931;23.004713;
173;105076;2321;99407;55;0.365094;21.736382;
174;105623;2322;99406;55;0.436736;21.736382;
175;106281;2322;99408;55;0.278280;23.463175;
176;107006;2322;99409;55;0.181880;24.762234;
177;107587;2322;99405;55;0.568423;25.703936;
178;108872;2323;99407;55;0.388000;25.798735;
179;109433;2323;99408;55;0.277979;26.179100;
180;109979;2323;99405;55;0.530723;25.798735;
181;110607;2323;99405;55;0.576095;25.798735;
182;111177;2324;99407;55;0.361904;25.893656;
183;111867;2324;99404;55;0.618585;26.753098;
184;112335;2325;99405;55;0.503288;25.798735;
185;113034;2325;99405;55;0.571776;26.369974;
186;113500;2325;99407;55;0.401708;26.274479;
187;114186;2325;99405;55;0.497342;25.703936;
188;114668;2326;99408;55;0.272312;26.083838;
189;115215;2326;99404;55;0.596722;25.703936;
190;115945;2327;99407;55;0.381377;25.798735;
191;116563;2327;99403;55;0.726425;25.514677;
192;117192;2327;99406;55;0.455625;25.043537;
193;117789;2327;99406;55;0.455533;23.924547;
194;118277;2328;99405;55;0.505896;22.006256;
195;118797;2328;99406;55;0.438653;20.139019;
196;119487;2328;99408;55;0.284029;16.725021;
197;120007;2329;99407;55;0.327294;12.115445;
198;120598;2328;99405;55;0.546482;20.051382;
199;121190;2329;99404;55;0.665344;20.844324;
200;121725;2329;99404;55;0.647885;19.876459;
201;122374;2330;99404;55;0.649631;20.402651;
202;122867;2330;99408;55;0.257861;21.736382;
203;123497;2330;99405;55;0.522823;19.181440;
204;124071;2331;99404;55;0.626822;16.394026;
205;124692;2331;99404;55;0.632585;16.147034;
206;125219;2331;99407;55;0.370700;16.394026;
207;125837;2332;99405;55;0.541278;15.819386;
208;126359;2332;99405;55;0.521229;15.819386;
209;127047;2332;99406;55;0.465594;15.331520;
210;127527;2333;99404;55;0.613539;15.412530;
211;128062;2332;99402;55;0.825642;15.412530;
212;128719;2333;99403;55;0.728492;15.008690;
213;129958;2334;99401;55;0.850631;15.169861;
214;130490;2334;99402;55;0.799506;14.928285;
215;131078;2335;99404;55;0.630008;14.928285;
216;131624;2334;99405;55;0.551812;15.250630;
217;132350;2335;99403;55;0.723075;15.169861;
218;132888;2335;99407;55;0.364188;15.737773;
219;133409;2335;99404;55;0.631851;14.928285;
220;134041;2336;99405;55;0.523168;16.064943;
221;134576;2336;99403;55;0.670539;15.331520;
222;135110;2337;99401;55;0.857272;15.250630;
223;135811;2337;99401;55;0.885682;15.331520;
224;136292;2337;99403;55;0.742076;15.656281;
225;137035;2337;99402;55;0.794458;16.476595;
226;137595;2337;99406;55;0.495042;18.665091;
227;138126;2338;99406;55;0.442510;22.640018;
228;138658;2338;99404;55;0.591886;23.647366;
229;139260;2338;99402;55;0.763903;21.736382;
230;139779;2338;99402;55;0.763903;19.181440;
231;140372;2339;99406;55;0.453979;19.267908;
232;140950;2340;99404;55;0.631768;20.402651;
233;141594;2340;99407;55;0.356245;20.139019;
234;142266;2340;99404;55;0.602619;9.183164;
235;142747;2340;99404;55;0.602619;6.927543;
236;143309;2340;99403;55;0.684010;6.210952;
237;143945;2341;99407;55;0.383920;5.450630;
238;144468;2341;99406;55;0.475003;6.599544;
239;145127;2341;99404;55;0.593976;6.082654;
240;145663;2342;99405;55;0.549292;9.824559;
241;146305;2342;99407;55;0.356555;4.713752;
242;146785;2342;99408;55;0.290561;4.177345;
243;147488;2343;99408;55;0.313131;4.653448;
244;147969;2343;99407;55;0.383572;4.118638;
