"Number";"Time_ms";"Accel x";"Accel y";"Accel z";"Gyro x";"Gyro y";"Gyro z";"Mag x";"Mag y";"Mag z";"crc"
8;1457;-43;168;2015;20;-77;-48;47;-1159;-2651;9228;
10;1556;-53;156;2004;26;-77;-48;68;-1154;-2585;2127;
19;2670;48;227;2013;41;-100;-45;81;-1156;-2620;20893;
20;2715;17;246;2027;11;-72;-43;59;-1149;-2647;27410;
21;2771;-75;175;2022;14;-75;-51;133;-2316;-4456;2846;
26;3055;-53;156;2022;17;-81;-51;70;-1158;-2652;55059;
39;3784;-61;177;2022;25;-80;-48;73;-1150;-2649;11152;
42;3939;-51;180;2019;24;-80;-48;79;-1167;-2641;55734;
46;4158;-58;175;2022;25;-80;-49;76;-1160;-2652;6866;
52;4496;-64;177;2026;23;-81;-49;40;-1166;-2644;13622;
53;4561;-51;176;2024;23;-78;-49;77;-2307;-4372;61453;
64;5169;-67;172;2018;25;-79;-48;120;-2293;-4444;3293;
65;5225;-48;184;2014;24;-82;-47;75;-1158;-2602;63450;
74;5732;-54;178;2025;25;-78;-47;59;-1154;-2646;4820;
75;5778;-60;178;2023;23;-80;-48;58;-1153;-2627;53434;
85;6341;-34;162;2022;23;-75;-47;141;-2324;-4426;40363;
91;6688;-58;176;2016;24;-76;-48;49;-1174;-2642;49776;
96;6976;-75;182;2015;26;-78;-48;147;-1162;-2600;36044;
107;7604;-84;161;2019;17;-67;-46;157;-2317;-4451;32493;
110;7767;-53;165;2025;21;-76;-49;81;-1159;-2638;40868;
118;8824;-76;154;2017;24;-75;-47;153;-2312;-4377;41582;
139;9982;-64;163;2024;25;-76;-47;41;-1155;-2638;5576;
149;10539;-56;170;2025;25;-80;-49;82;-1159;-2635;31017;
155;10867;-39;165;2026;23;-83;-47;30;-1154;-2647;5303;
159;11097;-56;181;2020;23;-79;-48;54;-1163;-2625;34944;
170;11722;-48;155;2027;24;-80;-47;153;-2314;-4448;27292;
180;12306;-43;164;2020;25;-82;-49;-36;-2318;-4469;42558;
194;13063;-53;166;2034;25;-79;-47;73;-1159;-2597;51422;
201;13459;-52;177;2024;24;-77;-49;74;-1154;-2624;52976;
207;13794;-61;167;2017;24;-79;-48;145;-2309;-4449;30585;
211;14028;-62;154;2019;27;-77;-47;151;-2301;-4397;19325;
213;14153;-74;154;2023;22;-78;-48;77;-1148;-2643;50017;
221;15200;-24;153;2024;40;-82;-49;141;-2315;-4457;20180;
226;15474;-86;190;2013;30;-79;-49;77;-1149;-2640;387;
232;15812;-96;192;2021;17;-68;-44;73;-1166;-2630;64226;
242;16365;-68;167;2024;26;-77;-47;42;-2277;-4457;16202;
252;16910;-53;192;2016;24;-79;-49;170;-1147;-2602;5388;
253;16977;-61;168;2023;21;-79;-49;159;-2308;-4466;61906;
263;17561;-66;177;2012;25;-79;-51;156;-2318;-4469;60470;
273;18141;-48;161;2018;23;-79;-48;137;-2317;-4449;11148;
