"Number";"Time_ms";"Temp BME";"Pressure";"Humidity";Height BME";"Lux";"State";"crc"
3;1619;3712;99831;39;-0.006147066131234169;670.2566528320312;0;58416;
6;2834;3712;99831;39;-0.0063211629167199135;690.4014282226562;0;55993;
9;3449;3712;99836;39;-0.45494142174720764;681.083984375;0;3044;
10;3652;3712;99836;39;-0.45494142174720764;687.8460083007812;0;27491;
12;4056;3711;99832;39;-0.14144541323184967;751.3745727539062;0;17787;
15;4676;3710;99831;39;-0.023411327973008156;683.6107177734375;0;21619;
18;5291;3709;99831;39;-0.08067850768566132;707.719482421875;0;28929;
21;5894;3709;99828;39;0.2351941615343094;650.7770385742188;0;34902;
22;6099;3709;99828;39;0.2351941615343094;686.1482543945312;0;65495;
24;6518;3708;99830;39;0.019856061786413193;575.4459838867188;0;7781;
27;7149;3708;99832;39;-0.13433857262134552;561.6944580078125;0;18906;
33;8985;3703;99823;39;0.6734126806259155;666.9647827148438;0;12238;
36;9603;3703;99824;39;0.5141173005104065;669.4320068359375;0;50076;
37;9807;3703;99824;39;0.516845166683197;656.3916015625;0;24302;
39;10208;3703;99824;39;0.516845166683197;712.1268920898438;0;42435;
42;10812;3707;99832;39;-0.15957842767238617;778.293701171875;0;46314;
45;11442;3704;99833;39;-0.18119139969348907;833.5153198242188;0;13304;
48;12087;3703;99834;39;-0.33122530579566956;831.38818359375;0;33758;
51;12692;3703;99831;39;-0.030506305396556854;822.94384765625;0;30576;
56;13711;3702;99831;39;-0.03964225947856903;814.6025390625;0;44347;
57;13929;3699;99831;39;-0.06672222912311554;805.33935546875;0;46673;
60;15148;3701;99834;39;-0.26257723569869995;786.1930541992188;0;36041;
63;15753;3702;99831;39;-0.03602151945233345;849.6814575195312;0;2279;
67;16570;3702;99835;39;-0.34148067235946655;894.6900024414062;0;14726;
72;17647;3703;99829;39;0.08814546465873718;798.2214965820312;0;28617;
75;18258;3702;99832;39;-0.0948733538389206;808.4131469726562;0;12526;
78;18859;3702;99832;39;-0.15757837891578674;813.5670776367188;0;40582;
84;20087;3701;99830;39;0.02538178488612175;816.6784057617188;0;27468;
87;20705;3701;99832;39;-0.1282660961151123;814.6025390625;0;1347;
89;21723;3698;99833;39;-0.18665681779384613;811.5007934570312;0;44195;
