"Number";"Time_ms";"Fix";"Latitude";"Longitude";"Height";"Time, s";"Time, mks";"crc"
1;1122;0;0.0;0.0;0.0;0;0;34033;
4;1721;0;nan;nan;nan;4294963635;4294967295;14299;
7;2936;0;nan;nan;nan;4294963635;4294967295;16219;
10;3553;0;nan;nan;nan;4294963635;4294967295;49826;
11;3761;0;nan;nan;nan;4294963635;4294967295;49913;
16;4779;0;nan;nan;nan;4294963635;4294967295;65029;
22;6000;0;nan;nan;nan;4294963635;4294967295;20919;
23;6208;0;nan;nan;nan;4294963635;4294967295;6402;
25;6635;0;nan;nan;nan;4294963635;4294967295;41063;
27;7049;0;nan;nan;nan;4294963635;4294967295;26937;
28;7253;0;nan;nan;nan;4294963635;4294967295;7219;
31;7873;0;nan;nan;nan;4294963635;4294967295;1736;
34;9090;0;nan;nan;nan;4294963635;4294967295;13483;
35;9297;0;nan;nan;nan;4294963635;4294967295;56368;
37;9705;0;nan;nan;nan;4294963635;4294967295;53772;
41;10516;0;nan;nan;nan;4294963635;4294967295;24528;
43;10932;0;nan;nan;nan;4294963635;4294967295;7203;
46;11548;0;nan;nan;nan;4294963635;4294967295;38240;
49;12187;0;nan;nan;nan;4294963635;4294967295;50064;
52;12794;0;nan;nan;nan;4294963635;4294967295;375;
55;13404;0;nan;nan;nan;4294963635;4294967295;12972;
58;14031;0;nan;nan;nan;4294963635;4294967295;45802;
61;15250;0;nan;nan;nan;4294963635;4294967295;59320;
64;15865;0;nan;nan;nan;4294963635;4294967295;29593;
67;16468;0;nan;nan;nan;4294963635;4294967295;55763;
69;16874;0;nan;nan;nan;4294963635;4294967295;3786;
70;17095;0;nan;nan;nan;4294963635;4294967295;27924;
73;17756;0;nan;nan;nan;4294963635;4294967295;54418;
76;18357;0;nan;nan;nan;4294963635;4294967295;16316;
78;18763;0;nan;nan;nan;4294963635;4294967295;12915;
79;18966;0;nan;nan;nan;4294963635;4294967295;15394;
80;19174;0;nan;nan;nan;4294963635;4294967295;45145;
82;19584;0;nan;nan;nan;4294963635;4294967295;60976;
88;21418;0;nan;nan;nan;4294963635;4294967295;63592;
91;22043;0;nan;nan;nan;4294963635;4294967295;55725;
92;22275;0;nan;nan;nan;4294963635;4294967295;14082;
94;22689;0;nan;nan;nan;4294963635;4294967295;14081;
97;23305;0;nan;nan;nan;4294963635;4294967295;32284;
99;23713;0;nan;nan;nan;4294963635;4294967295;2227;
100;23929;0;nan;nan;nan;4294963635;4294967295;25062;
103;24545;0;nan;nan;nan;4294963635;4294967295;55670;
106;25150;0;nan;nan;nan;4294963635;4294967295;40849;
109;25758;0;nan;nan;nan;4294963635;4294967295;10723;
112;26375;0;nan;nan;nan;44237;0;18178;
115;27008;0;nan;nan;nan;44238;0;7495;
116;27830;0;nan;nan;nan;44238;0;53541;
118;28227;0;nan;nan;nan;44239;0;18181;
121;28859;0;nan;nan;nan;44239;0;2670;
124;29466;0;nan;nan;nan;44240;0;65126;
127;30072;0;nan;nan;nan;44241;0;21134;
130;30707;0;nan;nan;nan;44241;0;61795;
132;31111;0;nan;nan;nan;44242;0;55156;
133;31313;0;nan;nan;nan;44242;0;1209;
139;32554;0;nan;nan;nan;44243;0;7262;
142;33186;0;nan;nan;nan;44244;0;18843;
145;34423;0;nan;nan;nan;44245;0;47373;
150;35443;0;nan;nan;nan;44246;0;5185;
151;35642;0;nan;nan;nan;44246;0;26596;
160;37501;0;nan;nan;nan;44248;0;5760;
163;38111;0;nan;nan;nan;44249;0;15762;
164;38315;0;nan;nan;nan;44249;0;12971;
166;38741;0;nan;nan;nan;44249;0;13431;
169;39349;0;nan;nan;nan;44250;0;65114;
172;40581;0;nan;nan;nan;44251;0;28302;
175;41194;0;nan;nan;nan;44252;10000;30200;
181;42425;0;nan;nan;nan;44253;0;29605;
184;43069;0;nan;nan;nan;44254;0;60487;
187;43674;0;nan;nan;nan;44254;0;48080;
190;44298;0;nan;nan;nan;44255;0;61187;
