"Number";"Time_ms";"Time";"Q1";"Q2";"Q3";"Q4";"crc"
1;1030;1.0269999504089355;0.9567821621894836;0.26657402515411377;0.11258785426616669;-0.028811782598495483;62089;
8;1424;1.4210000038146973;0.9818699359893799;0.17484353482723236;0.057641416788101196;-0.045150984078645706;56079;
10;1523;1.5199999809265137;0.9865374565124512;0.1493392139673233;0.04519612342119217;-0.048978012055158615;25659;
12;1645;1.6419999599456787;0.9912021160125732;0.11711270362138748;0.03034547157585621;-0.05368485301733017;27153;
14;1747;1.7450000047683716;0.994206964969635;0.08894196152687073;0.019210785627365112;-0.05720879137516022;39738;
19;2637;2.634000062942505;0.9919618368148804;0.08658375591039658;-0.01896272972226143;-0.09030713140964508;29284;
21;2739;2.7360000610351562;0.9935383200645447;0.062479447573423386;-0.010333976708352566;-0.09418639540672302;30526;
23;2860;2.8570001125335693;0.9942938685417175;0.03715835511684418;0.008628135547041893;-0.09962186962366104;4322;
30;3248;3.244999885559082;0.9921724200248718;0.0539446622133255;0.006813918240368366;-0.1124161034822464;10453;
32;3348;3.3450000286102295;0.9925013184547424;0.03650273382663727;0.01052538026124239;-0.11618087440729141;31027;
33;3401;3.3980000019073486;0.9922613501548767;0.03852080553770065;0.0074096317403018475;-0.11780814826488495;26624;
34;3475;3.4719998836517334;0.991677463054657;0.0459582582116127;0.005318397656083107;-0.12014757096767426;1842;
41;3860;3.8570001125335693;0.9901589155197144;0.04408888518810272;0.00028351243236102164;-0.13282132148742676;38356;
43;3963;3.9600000381469727;0.9892657399177551;0.05120229721069336;0.009558873251080513;-0.13652904331684113;4154;
45;4081;4.078999996185303;0.9890636801719666;0.04541575536131859;0.0021826005540788174;-0.14030539989471436;9108;
52;4464;4.460999965667725;0.9870168566703796;0.046325188130140305;0.011221596971154213;-0.1533813774585724;2396;
54;4584;4.580999851226807;0.9864484071731567;0.04626394808292389;0.006910089403390884;-0.1572626829147339;28532;
56;4702;4.699999809265137;0.9859954118728638;0.04209700599312782;0.006153977010399103;-0.16125479340553284;9266;
63;5089;5.085999965667725;0.9836891889572144;0.043990183621644974;0.010401403531432152;-0.17410430312156677;35871;
65;5192;5.189000129699707;0.983170211315155;0.04170772805809975;0.0107530253008008;-0.17754162847995758;57819;
72;5582;5.579999923706055;0.9807940125465393;0.04348328337073326;0.0033545857295393944;-0.1901080310344696;57130;
74;5699;5.696000099182129;0.9802533984184265;0.03727183863520622;0.006232227198779583;-0.1941009908914566;33344;
76;5801;5.797999858856201;0.9794501066207886;0.040498800575733185;0.006327195093035698;-0.1974775791168213;11722;
