"Number";"Time_ms";"VectorX";"VectorY";"VectorZ";"DeltaStep";"KsiServo";"crc"
1;1195;-0.9986848831176758;-1.886622698066276e-07;-0.051270440220832825;-19.08586883544922;-28.582517623901367;5673;
2;1394;-4.78998783386554e-15;-1.3389500963967294e-05;-1.0;-16.13916015625;-22.193437576293945;15651;
4;1797;0.0;-0.0;-0.0;-6.871026992797852;-8.803847312927246;8211;
5;2610;2.750274966328981e-38;1.0;-5.135414678798675e-24;18.63496208190918;-10.924909591674805;65444;
7;3009;-0.0;-0.0;0.0;-3.169772148132324;-5.247103691101074;51205;
8;3222;-1.0;-2.034789758909028e-06;0.0;-5.720232963562012;-5.421464920043945;38481;
9;3421;-1.2118188032967975e-16;-1.0;-8.621344081746465e-24;-1.7336430549621582;-5.2153639793396;48016;
10;3626;1.0;6.626361681583148e-09;5.7548795375370526e-24;2.6216917037963867;-5.3093485832214355;36230;
11;3834;0.0;-0.0;-0.0;-4.6282639503479;-4.909524440765381;41700;
13;4234;0.9999487400054932;-0.010126175358891487;9.803361464624794e-13;-0.5374518632888794;-5.674195766448975;35232;
16;4851;-0.0;0.0;0.0;7.154618263244629;-4.136385917663574;34953;
17;5057;0.0;0.0;0.0;5.961970806121826;-4.691810131072998;26745;
18;5267;-2.258060327209063e-36;0.16123360395431519;0.9869162440299988;0.38413041830062866;-4.937977313995361;35259;
19;5470;-0.0;0.0;0.0;9.686885833740234;-3.887359142303467;15661;
20;5672;0.0;0.0;0.0;8.816368103027344;-4.900615215301514;5681;
22;6073;8.562824060920349e-11;0.9248996376991272;0.3802112936973572;3.5802884101867676;-4.656975746154785;41315;
23;6282;-1.6389863780161162e-35;1.0;1.2237815370581587e-23;15.101358413696289;-5.030929088592529;29442;
25;6711;-4.3077843375760594e-11;3.0616496005109184e-09;-1.0;10.432113647460938;-5.800736427307129;9967;
26;6912;0.0;0.0;0.0;12.524781227111816;-5.004920959472656;26397;
27;7125;-1.7888865841086954e-05;2.2196423843899582e-14;1.0;10.185806274414062;-5.283355712890625;31776;
28;7327;8.632950883060404e-31;2.9780868882056666e-09;-1.0;21.000917434692383;-5.1994500160217285;1942;
29;7545;-0.9986543655395508;8.741060723947934e-18;-0.05186071991920471;18.42228126525879;-5.159000873565674;27319;
31;7945;9.42871265579015e-05;0.9999966025352478;-0.0026243627071380615;22.003847122192383;-4.910981178283691;33957;
32;8147;-1.038570098899072e-05;1.0;-1.0840345708706835e-29;22.639066696166992;-4.89513635635376;52254;
34;9166;-0.0;-0.0;-0.0;-51.19147491455078;-3.3064372539520264;15379;
37;9780;2.8214635676704347e-06;4.906223693978973e-07;1.0;12.241352081298828;-4.826522350311279;8641;
41;10589;-0.0;0.0;-0.0;22.21106719970703;-5.1306843757629395;62531;
43;11005;-0.0;0.0;-0.0;25.3157901763916;-5.351626396179199;269;
44;11206;-0.0;0.0;0.0;34.25226974487305;-5.573216915130615;44334;
45;11419;-0.0;0.0;0.0;26.453983306884766;-5.268976211547852;62537;
47;11847;-3.3325110562178305e-33;1.0;-5.6378042865960504e-15;32.09682846069336;-4.966684341430664;48419;
49;12260;1.404589266040485e-31;1.0;1.7044307919586674e-35;23.51346778869629;-4.811691761016846;24955;
50;12465;2.670851623090895e-30;1.0;-2.3158468278290024e-31;33.62368392944336;-5.020235538482666;58661;
52;12866;-3.607568548904226e-14;1.0;3.2026998926253807e-32;36.29363250732422;-5.536096096038818;41284;
54;13277;-1.0;5.629791354915025e-15;0.0;35.27351760864258;-5.963006496429443;13932;
55;13483;0.0013563286047428846;0.9982897639274597;-0.05844441428780556;32.37735366821289;-4.782227516174316;37823;
56;13685;-0.0;0.0;-0.0;36.53596878051758;-4.931608200073242;34523;
58;14107;-0.0;0.0;-0.0;46.48136520385742;-5.317749977111816;63345;
59;14309;0.0;0.0;-0.0;30.43796730041504;-4.731276988983154;1393;
60;15125;-1.3563561623679277e-13;1.0;4.481174983084202e-05;28.361690521240234;-23.37887954711914;22754;
61;15323;-1.1379922801537559e-18;4.382982904351463e-17;1.0;32.95389175415039;-16.75565528869629;48504;
62;15523;0.0;0.0;-0.0;40.152095794677734;-9.90711498260498;39007;
63;15730;-7.390996723064674e-14;1.0;-2.7677584067489763e-37;43.505123138427734;-5.262946605682373;39011;
64;15938;0.0;0.0;-0.0;43.13896560668945;-4.437595367431641;224;
65;16139;0.9994533658027649;0.033060427755117416;4.4633804208160655e-08;50.746795654296875;-4.600314140319824;47853;
67;16541;0.0;0.0;0.0;46.03887176513672;-4.669017791748047;40204;
68;16745;-0.0;0.0;-0.0;52.13688659667969;-5.155045986175537;29696;
70;17168;1.0805153852871466e-29;1.0;-2.850192907532645e-25;47.9088134765625;-5.649855613708496;46463;
72;17606;0.0;0.0;0.0;51.96628952026367;-4.890733242034912;9126;
73;17828;1.0;2.0954718303622084e-17;3.4506698072451555e-27;48.497982025146484;-5.166680812835693;20462;
74;18028;1.0;1.2889496658667805e-19;-0.0;52.77835464477539;-5.619154930114746;51051;
76;18434;0.0;0.0;0.0;56.5155143737793;-4.5497517585754395;23158;
77;18631;6.349846397130618e-28;1.0;-1.1758601303321547e-23;60.62004089355469;-4.990862846374512;25986;
79;19039;-4.771287015422732e-36;1.0;-0.00018815070507116616;60.79900360107422;-5.2583088874816895;59671;
80;19243;0.0;0.0;-0.0;66.74290466308594;-4.533255577087402;38846;
82;19658;-4.600464176274244e-10;0.13381622731685638;-0.9910061359405518;59.189613342285156;-5.084105491638184;38495;
85;20278;0.0;0.0;0.0;70.1336441040039;-4.800780296325684;50933;
88;21491;-1.4332085740420553e-08;5.008942039082514e-15;1.0;148.54335021972656;-8.777448654174805;39954;
89;21697;1.0;4.327553779658468e-18;6.5540646093680465e-21;107.07178497314453;-5.178506851196289;35381;
90;21915;0.0;0.0;-0.0;65.51274108886719;-5.71366024017334;34320;
91;22122;1.0;8.742422608065681e-08;1.446349029984998e-21;68.0191650390625;-5.6585893630981445;55043;
94;22762;0.0;0.0;0.0;67.32221984863281;-4.6015238761901855;50553;
95;22981;-2.3990031356303614e-15;1.0;-4.029934158865942e-15;70.45368957519531;-5.123810291290283;46140;
98;23588;-0.8255336284637451;0.5643531084060669;5.948756439884285e-29;76.22389221191406;-5.4402289390563965;16550;
99;23804;4.0118839784524765e-30;1.0;-5.0245322088383455e-20;81.870849609375;-4.6779866218566895;12552;
100;24010;0.0;0.0;-0.0;79.44023132324219;-4.188943386077881;17248;
101;24218;-8.526673073837509e-22;1.0;3.4592642639275084e-10;68.3782730102539;-4.911385536193848;61043;
103;24625;0.0;0.0;-0.0;70.47052001953125;-4.9290642738342285;27715;
106;25231;0.007063194178044796;0.9999750852584839;7.805439434350892e-21;73.8685073852539;-4.644833087921143;22852;
107;25432;0.0;0.0;0.0;85.73039245605469;-5.35203218460083;60911;
108;25633;-0.0;0.0;-0.0;79.47465515136719;-5.8866801261901855;20597;
110;26048;-0.0;0.0;-0.0;87.75467681884766;-4.557101249694824;32330;
113;26668;-0.0;0.0;-0.0;78.7880630493164;-4.613614082336426;60741;
117;28101;-1.0;1.8738806062401636e-09;-6.458736219237118e-30;67.96477508544922;-7.25811767578125;45977;
119;28531;8.671819706762562e-09;1.0;2.7660819077383774e-26;93.55704498291016;-4.7718729972839355;1076;
122;29139;-1.0;1.029249394046694e-10;3.0107068962172557e-34;101.14095306396484;-4.777589797973633;56055;
124;29542;-5.567385434902456e-17;1.0;3.97463312262758e-11;107.2529067993164;-4.472891807556152;60047;
125;29745;-4.850393407800877e-38;1.0;-1.002431865884058e-30;92.55506134033203;-5.053748607635498;9751;
127;30166;1.0;1.333366337161895e-15;-3.1494505862803064e-33;124.30333709716797;-5.122863292694092;62578;
128;30376;-0.0;0.0;0.0;116.91777038574219;-5.144766330718994;32808;
132;31187;1.4367839867190924e-05;1.0;-8.939004050856347e-12;90.86614227294922;-4.725052833557129;21583;
133;31386;-0.999998927116394;2.8166901756776497e-05;-0.001452218508347869;112.58917999267578;-5.705956935882568;25447;
136;31999;0.0;0.9999619126319885;-0.008723843842744827;104.8846435546875;-4.913594722747803;51440;
137;32226;0.7764211297035217;0.6302144527435303;1.0965738096520679e-21;103.47254943847656;-5.360959529876709;38164;
139;32627;-1.0;4.704149938507263e-16;-1.3912361324499464e-27;110.38446807861328;-4.658621788024902;22399;
140;32832;-0.0;0.0;-0.0;115.85184478759766;-4.768893718719482;43172;
142;33259;0.0;3.0351213209378614e-10;1.0;103.69225311279297;-5.086244583129883;60595;
143;34078;0.0;0.0;-0.0;144.72695922851562;-25.033771514892578;41544;
