num; time; accl1; accl2; accl3; gyro1; gyro2; gyro3; mag1; mag2; mag3
0;0;-351;-528;724;383;4890;4004;0;-1;-4
0;0;-376;-451;703;298;4659;4110;0;-19;-14
1;1712;-350;-521;711;133;4792;4278;-19;-19;-14
1;1712;-484;-602;634;143;5482;4241;-19;-19;-14
2;1926;-634;-552;592;616;5022;3775;-19;0;0
2;1926;-584;-515;590;423;4545;3710;0;0;0
3;2140;-542;-523;592;410;4661;3910;0;0;0
3;2140;-567;-539;591;451;4677;3914;0;0;0
3;2140;-574;-526;602;456;4644;3930;0;-19;-14
3;2140;-547;-509;607;426;4535;3911;0;-19;-14
4;2577;-475;-525;624;455;4621;3841;-19;-19;-14
4;2577;-578;-520;627;440;4871;4000;-19;-19;-14
5;2828;-611;-522;624;464;4683;3846;-19;-19;-14
5;2828;-534;-512;637;629;4476;3676;-19;-19;-14
5;2828;-509;-440;626;455;4659;3742;-19;0;-1
5;2828;-508;-506;654;434;4657;3814;0;0;-1
5;2828;-461;-566;685;299;4798;3875;0;-19;-14
5;2828;-531;-458;614;296;4915;3688;0;-19;-14
6;3464;-499;-641;556;32;4972;3595;-19;-19;-14
6;3464;-561;-659;575;482;4434;4230;-19;-19;-14
7;3690;-539;-516;600;144;4799;3783;-19;0;0
7;3690;-482;-691;491;-83;4882;3336;0;0;0
8;3927;-504;-714;442;492;4739;3779;0;0;0
8;3927;-531;-649;521;741;4756;4026;0;0;0
8;3927;-515;-681;504;467;4757;3695;0;0;0
8;3927;-473;-658;524;609;4806;3683;0;-19;-14
9;4365;-555;-662;511;670;4977;3790;-19;-19;-14
9;4365;-521;-620;526;523;4725;3827;-19;-19;-14
10;4578;-547;-621;529;459;4790;3906;-19;0;0
10;4578;-538;-632;516;377;4682;3930;0;0;0
10;4578;-543;-634;529;426;4730;3801;0;0;0
10;4578;-473;-667;523;385;4725;3886;0;0;0
10;4578;-541;-662;513;387;4714;3834;0;-19;-14
10;4578;-551;-630;516;635;4684;3953;-19;-19;-14
11;5252;-536;-613;544;433;4711;3919;-19;-19;-14
11;5252;-532;-635;540;510;4746;3909;-19;0;0
12;5477;-568;-605;504;638;4834;3884;-19;0;0
12;5477;-570;-553;546;618;4765;3946;0;0;0
13;5690;-555;-548;586;511;4844;3769;0;0;0
13;5690;-573;-575;562;487;4810;3752;0;-19;-14
13;5690;-602;-544;541;480;4713;3761;0;-19;-14
13;5690;-553;-549;532;421;4683;3878;-19;0;0
14;6195;-558;-584;532;344;4808;3791;0;0;0
14;6195;-539;-612;547;477;4686;3796;0;0;0
15;6490;-551;-610;531;455;4744;3770;0;-19;-14
15;6490;-564;-588;547;493;4717;3848;-19;-19;-14
15;6490;-542;-588;556;578;4712;3873;-19;0;0
15;6490;-549;-569;553;570;4754;3828;0;0;0
15;6490;-534;-562;571;571;4789;3861;0;-19;-14
15;6490;-562;-538;535;486;4812;3754;-19;-19;-14
16;7301;-553;-565;541;424;4871;3717;-19;0;0
16;7301;-567;-581;525;411;4932;3659;0;0;0
17;7514;-599;-592;522;446;4840;3753;0;0;0
17;7514;-611;-613;549;496;4666;3697;0;0;0
18;7739;-588;-563;504;488;4776;3850;0;-19;-14
18;7739;-556;-625;490;350;4796;3806;-19;-19;-14
18;7739;-595;-624;492;510;4806;3915;-19;-19;-14
18;7739;-599;-617;487;518;4833;3827;-19;0;0
19;8174;-613;-582;491;580;4783;3866;0;0;0
19;8174;-626;-566;490;498;4811;3835;0;0;0
20;8401;-632;-589;493;494;4771;3834;0;-19;-14
20;8401;-629;-588;480;499;4751;3823;0;-19;-14
20;8401;-598;-580;492;534;4722;3812;0;-19;-14
20;8401;-614;-573;497;525;4753;3795;-19;-19;-14
20;8401;-613;-567;505;516;4773;3808;-19;0;0
20;8401;-619;-574;500;510;4738;3790;0;0;0
21;9062;-608;-562;503;563;4765;3826;0;0;0
21;9062;-634;-533;494;474;4866;3814;0;0;0
22;9288;-657;-563;500;480;4773;3794;0;-19;-14
22;9288;-616;-566;508;492;4731;3809;-19;-19;-14
23;9513;-626;-563;510;528;4718;3847;-19;-19;-14
23;9513;-616;-549;495;540;4738;3821;-19;-19;-14
23;9513;-613;-540;505;488;4773;3817;-19;0;0
23;9513;-645;-560;491;459;4774;3782;0;0;0
24;9950;-652;-544;499;491;4735;3800;0;0;0
24;9950;-635;-535;504;481;4706;3853;0;0;0
25;10175;-628;-534;513;503;4687;3878;0;-19;-14
25;10175;-638;-534;507;458;4687;3843;-19;-19;-14
25;10175;-642;-549;520;569;4684;3965;-19;-19;-14
25;10175;-669;-475;528;638;4729;3816;-19;0;0
25;10175;-650;-484;549;669;4666;3921;0;-19;-14
25;10175;-660;-409;564;617;4723;3789;-19;-19;-14
26;10904;-623;-432;572;516;4734;3634;-19;-19;-14
26;10904;-658;-481;578;495;4764;3799;-19;-19;-14
27;11117;-629;-460;573;562;4721;3889;-19;0;0
27;11117;-633;-454;566;527;4753;3820;0;0;0
28;11342;-649;-457;581;503;4759;3813;0;0;0
28;11342;-656;-442;565;529;4738;3830;0;0;0
28;11342;-667;-467;576;464;4761;3789;0;-19;-14
28;11342;-653;-465;578;524;4718;3807;-19;-19;-14
29;11859;-642;-457;567;493;4729;3802;-19;0;0
29;11859;-650;-445;589;505;4720;3810;0;0;0
30;12157;-638;-457;578;495;4730;3820;0;-19;-14
30;12157;-646;-463;587;501;4759;3791;-19;-19;-14
30;12157;-639;-455;591;504;4744;3795;0;-19;-14
30;12157;-624;-437;589;498;4744;3802;-19;-19;-14
30;12157;-639;-450;586;479;4760;3789;-19;0;0
30;12157;-637;-451;584;472;4762;3772;0;-19;-14
31;12885;-639;-457;582;476;4753;3789;-19;-19;-14
31;12885;-630;-454;590;517;4760;3793;-19;-19;-14
32;13111;-639;-460;582;495;4766;3804;-19;0;0
32;13111;-640;-461;574;542;4755;3791;0;0;0
33;13338;-648;-442;582;525;4791;3764;-19;0;0
33;13338;-648;-418;593;517;4783;3797;0;0;0
33;13338;-653;-453;587;491;4745;3813;0;0;0
33;13338;-608;-451;584;495;4729;3793;0;-19;-14
34;13760;-657;-459;581;525;4776;3772;-19;-19;-14
34;13760;-643;-439;589;517;4747;3774;-19;0;0
35;13998;-622;-439;585;483;4757;3788;-19;0;0
35;13998;-652;-447;598;498;4754;3823;0;0;0
35;13998;-648;-446;576;498;4737;3810;-19;0;0
35;13998;-631;-451;579;473;4749;3784;0;-19;-14
35;13998;-637;-451;599;505;4724;3805;-19;-19;-14
35;13998;-634;-458;593;520;4719;3829;-19;0;0
36;14656;-620;-430;595;509;4730;3786;0;0;0
36;14656;-649;-435;595;499;4768;3797;0;0;0
37;14869;-629;-434;586;473;4765;3811;0;-19;-14
37;14869;-647;-442;602;471;4737;3828;-19;-19;-14
38;15167;-635;-445;594;466;4746;3820;0;-19;-14
38;15167;-628;-440;593;488;4731;3823;-19;-19;-14
38;15167;-641;-434;594;482;4744;3808;-19;-19;-14
38;15167;-638;-438;604;538;4735;3767;-19;0;0
39;16059;-619;-416;600;443;4953;3918;0;-19;-14
39;16059;-667;-407;613;518;4662;3758;0;0;0
40;16391;-611;-425;619;486;4702;3776;0;-19;-14
40;16391;-611;-445;629;470;4764;3796;-19;-19;-14
40;16391;-601;-421;610;437;4843;3826;-19;0;0
40;16391;-637;-484;601;578;4727;3898;-19;-19;-14
