num; time; bmp_temp; bmp_press; bmp_humidity; bmp_height; photorez; state
1;1054;2606;99749;46;0.000000;70.011963;0
2;1545;2606;99751;46;-0.166773;25.420216;0
3;2194;2605;99751;46;-0.121310;2.396152;0
4;2648;2604;99747;46;0.253081;2.821431;0
5;3154;2605;99747;46;0.191850;3.541820;0
6;3814;2603;99749;46;0.067212;5.079168;0
7;4257;2603;99749;46;0.067212;3.541820;0
8;4863;2602;99751;46;-0.130470;3.712874;0
9;5319;2602;99751;46;-0.130470;17.225109;0
10;5821;2602;99752;46;-0.226768;10.623146;0
11;6380;2602;99744;46;0.487476;38.886890;0
12;6950;2603;99749;46;0.065107;16.559284;0
13;7555;2603;99752;46;-0.231056;47.687187;0
14;8010;2603;99753;46;-0.262923;61.922791;0
15;8616;2602;99748;46;0.102487;14.130923;0
16;9113;2602;99749;46;0.003341;9.183164;0
17;9719;2602;99746;46;0.259542;14.767838;0
18;10264;2601;99750;46;-0.035528;11.888340;0
19;10719;2601;99750;46;-0.035528;16.808067;0
20;11236;2602;99752;46;-0.175248;36.074360;0
21;11795;2600;99748;46;0.148577;41.328968;0
22;12287;2601;99748;46;0.137021;37.146713;0
23;12907;2600;99746;46;0.307602;10.258172;0
24;13464;2600;99748;46;0.086335;50.090321;0
25;14010;2600;99751;46;-0.111070;8.761673;0
26;14519;2598;99750;46;-0.013924;21.826221;0
27;15011;2599;99747;46;0.216692;72.286652;0
28;15671;2598;99748;46;0.133051;8.070260;0
29;16114;2598;99752;46;-0.183276;40.323021;0
30;16672;2598;99748;46;0.155067;13.894096;0
31;17232;2598;99748;46;0.155067;40.323021;0
32;17734;2599;99749;46;0.002438;11.213905;0
33;18354;2597;99745;46;0.348151;10.843721;0
34;18796;2598;99752;46;-0.224109;27.524866;0
35;19314;2599;99753;46;-0.315241;20.755756;0
36;19871;2598;99749;46;0.048925;44.289268;0
37;20375;2598;99749;46;0.053350;33.030434;0
38;20878;2597;99748;46;0.151617;13.815401;0
39;21437;2597;99751;46;-0.112563;25.988688;0
40;21942;2597;99751;46;-0.112563;35.542534;0
41;22470;2596;99752;46;-0.231734;11.213905;0
42;23064;2595;99753;46;-0.276618;23.647366;0
43;23520;2595;99749;46;0.011163;15.656281;0
44;24077;2595;99745;46;0.392910;59.024055;0
45;24569;2594;99749;46;0.020638;25.798735;0
46;25576;2593;99750;46;-0.010830;7.326051;0
47;26093;2593;99750;46;-0.050188;69.448730;0
48;26651;2593;99750;46;-0.050188;48.402966;0
49;27258;2591;99751;46;-0.099109;16.229244;0
50;27815;2591;99751;46;-0.099109;20.667307;0
51;28360;2592;99749;46;0.029262;59.677380;0
52;28857;2593;99751;46;-0.100111;18.068029;0
53;29413;2592;99751;46;-0.104160;28.401936;0
54;29905;2592;99751;46;-0.164297;25.325872;0
55;30525;2592;99751;46;-0.087313;57.469307;0
56;30969;2591;99753;46;-0.303104;21.557041;0
57;31615;2590;99753;46;-0.316859;24.109896;0
58;32125;2589;99752;46;-0.183056;20.490753;0
59;32640;2590;99750;46;-0.003771;19.789175;0
60;33247;2590;99750;46;-0.080022;14.130923;0
61;33689;2590;99750;46;-0.080022;14.368850;0
62;34192;2590;99748;46;0.163839;41.104595;0
63;34710;2590;99749;46;0.029189;81.439186;0
64;35214;2588;99751;46;-0.123141;83.890602;0
65;35820;2588;99750;46;-0.078613;59.024055;0
66;36276;2588;99748;46;0.133628;15.331520;0
67;36768;2588;99755;46;-0.473108;3.943619;0
68;37295;2587;99751;46;-0.113862;62.724285;0
